ck_id,matrix_id,title,source,source_file,source_line,status,severity,domain,decision,phase_owner,notes
CK-110-0001,CK-110-M066,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has 91 lines of code (limit is 50),codacy,internal/storage/restore_test.go,2132,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0002,CK-110-M047,Method TestLoadSQLiteSchemaNormalizesLegacySchemaVersionHistory has a cyclomatic complexity of 11 (limit is 8),codacy,internal/db/migrations_test.go,476,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0003,CK-110-M062,Method TestRunGCDryRunCurrentAndSnapshotSharedRetentionSurvivesCurrentDelete has a cyclomatic complexity of 12,codacy,internal/maintenance/gc_test.go,737,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0004,CK-110-M051,Method TestStoreFileNormalizesSymlinkAndRealPathToSingleIdentity has 54 lines of code (limit is 50),codacy,internal/storage/physical_file_repository_test.go,414,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0005,CK-110-M047,Method TestRunMigrationsFailsOnLegacyUnsupportedStorageBlockCompressionCodec has 75 lines of code (limit is 50,codacy,internal/db/migrations_test.go,997,triaged,S3,migration,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0006,CK-110-M036,Method RepairLogicalRefCountsResultWithDB has 65 lines of code (limit is 50),codacy,internal/maintenance/repair_refcounts.go,23,triaged,S2,gc,include,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0007,CK-110-M063,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,tests/adversarial/g69_gc_safety_matrix_test.go,162,triaged,S3,gc,defer,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0008,CK-110-M025,Method CreateSnapshotWithOptions has 199 lines of code (limit is 50),codacy,internal/snapshot/snapshot.go,1327,triaged,S2,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0009,CK-110-M050,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/snapshot/snapshot_bench_test.go,72,triaged,S3,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0010,CK-110-M072,Expected: 2; Actual: 3,codacy,docs/benchmarking.md,649,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0011,CK-110-M052,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,codacy,tests/adversarial/v110_s0_chunk_reuse_bounds_stabilization_test.go,54,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0012,CK-110-M009,Insecure dependency golang/stdlib@v1.23.0 (CVE-2025-58185: encoding/asn1: Parsing DER payload can cause memory,codacy,go.mod,3,triaged,S1,dependencies,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0013,CK-110-M012,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/observability/stats.go,418,triaged,S1,security,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0014,CK-110-M012,SQL Injection is a critical vulnerability that can lead to data or system compromise.,codacy,internal/repository/capabilities/derive.go,340,triaged,S1,security,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0015,CK-110-M072,Expected: 1; Actual: 0; Below,codacy,docs/STEP64_METRICS_VALIDATION.md,29,triaged,S4,docs,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0016,CK-110-M025,Method LoadDeleteLineagePreview has 60 lines of code (limit is 50),codacy,internal/snapshot/delete_lineage_preview.go,23,triaged,S2,snapshot,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0017,CK-110-M067,The application was found setting file permissions to overly permissive values.,codacy,tests/adversarial/g1_deterministic_restore_adversarial_test.go,131,triaged,S3,restore,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0018,CK-110-M059,String-formatted SQL query detected.,codacy,internal/observability/inspect_test.go,1017,triaged,S3,security,exclude,Phase 2,v1.10.4 candidate issue linked from selected matrix row
CK-110-0019,CK-110-M071,Do not use `math/rand`. Use `crypto/rand` instead.,codacy,tests/adversarial/g611_adversarial_compression_longrun_test.go,9,triaged,S3,codacy,exclude,Phase 4,v1.10.4 candidate issue linked from selected matrix row
CK-110-0020,CK-110-M026,Method readAndValidateContainerHeader has a cyclomatic complexity of 10 (limit is 8),codacy,internal/container/format.go,111,triaged,S2,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
CK-110-0021,CK-110-M052,The application was found setting file permissions to overly permissive values.,codacy,internal/storage/phase1_compat_matrix_test.go,535,triaged,S3,storage,exclude,Phase 3,v1.10.4 candidate issue linked from selected matrix row
