id,operation_name,operation_category,contract_kind,contract_priority,invariant_surface,current_entry_points,phase2_refs,phase3_refs,request_shape_notes,result_shape_notes,error_boundary_notes,migration_mode,summary,notes
OPC-11012-001,store_file,store,engine_operation,P1,data_safety,"cmd/coldkeep/main.go:runStoreCommand; internal/storage/store.go:StoreFileWithStorageContextAndCodecResultWithPolicy()","CLI-BC-11012-005","DBFS-11012-009","candidate fields: source path; codec; compression level; chunker version; workers; dedup policy; dry-run flag","candidate fields: logical_file_id; stored_path; bytes_stored; chunks_written; container_id; duration_ms","codec/chunker default fallback must be preserved; partial-store failure must not leave corrupt rows; container finalization required before return",wrap_existing_behavior,Future engine operation candidate for storing a single file,Inventory only; no API implementation
OPC-11012-002,store_folder,store,engine_operation,P1,data_safety,"cmd/coldkeep/main.go:runStoreFolderCommand; internal/storage/store.go:StoreFolderWithStorageContextAndOptions()","CLI-BC-11012-007","DBFS-11012-009","candidate fields: source dir; codec; workers; execution options from env; recursive flag","candidate fields: files_stored; files_skipped; bytes_stored; errors list; duration_ms","workers param must be validated before first DB write; partial-folder failure must report per-file errors without aborting whole run",wrap_existing_behavior,Future engine operation candidate for storing a folder recursively,Inventory only; no API implementation
OPC-11012-003,restore_file_by_id,restore,filesystem_sensitive_operation,P0,deterministic_restore,"cmd/coldkeep/main.go:runRestoreCommand+executeRestoreItem; internal/storage/restore.go:RestoreFileWithStorageContextResultOptions()","CLI-BC-11012-009; CLI-BC-11012-012","DBFS-11012-006; DBFS-11012-024; DBFS-11012-029","candidate fields: logical_file_id; destination path; overwrite mode; stored-path replication flag; dry-run flag","candidate fields: restored path; bytes_restored; skipped flag; error with invariant_code","must preserve traversal rejection; overwrite rules; temp/rename/fsync failure behavior; no partial-restore success ambiguity",wrap_existing_behavior,Future engine operation candidate for restoring a logical file by ID,Inventory only; no API implementation
OPC-11012-004,restore_by_stored_path,restore,filesystem_sensitive_operation,P0,deterministic_restore,"cmd/coldkeep/main.go:runRestoreCommand batch path; internal/storage/restore.go","CLI-BC-11012-009; CLI-BC-11012-011","DBFS-11012-006; DBFS-11012-024","candidate fields: stored_path pattern; destination mode (original/prefix/override); overwrite flag; workers; dry-run flag","candidate fields: batch results list with per-path status; total bytes; skipped; failed with reasons","destination mode determines final path; original mode requires full path reconstruction; must reject path traversal attacks",wrap_existing_behavior,Future engine operation candidate for restoring files by stored path pattern,Inventory only; no API implementation
OPC-11012-005,snapshot_create,snapshot,catalog_operation,P0,snapshot_immutability,"cmd/coldkeep/main.go:runSnapshotCreateCommand; internal/snapshot/snapshot.go:CreateSnapshotWithOptions()","CLI-BC-11012-030","DBFS-11012-010; DBFS-11012-036","candidate fields: snapshot_id (caller-generated hex); label; type; parent_id; path filter options","candidate fields: snapshot_id; files_inserted; created_at; parent chain","all-or-nothing transaction; no partial snapshot rows; ID uniqueness enforced before commit; atomic via single BeginTx/Commit",wrap_existing_behavior,Future catalog operation candidate for creating a snapshot,Inventory only; no API implementation
OPC-11012-006,snapshot_list,snapshot,engine_query,P2,catalog_consistency,"cmd/coldkeep/main.go:runSnapshotListCommand; internal/snapshot/snapshot.go:ListSnapshots()","CLI-BC-11012-031","DBFS-11012-013","candidate fields: type filter; label filter; since/until timestamps; limit; tree mode flag","candidate fields: snapshots list with id/label/type/created_at/parent; tree lineage lines if tree requested","read-only; ordering and filtering must be deterministic; limit must be validated before DB query",lift_without_behavior_change,Future engine query candidate for listing snapshots with filters,Inventory only; no API implementation
OPC-11012-007,snapshot_show,snapshot,engine_query,P2,catalog_consistency,"cmd/coldkeep/main.go:runSnapshotShowCommand; internal/snapshot/snapshot.go:GetSnapshot+ListSnapshotFiles","CLI-BC-11012-032","DBFS-11012-013","candidate fields: snapshot query (id/label/latest/type); file filter; stats flag","candidate fields: snapshot metadata; files list with path/size/hash; stats (total bytes/files/dedup ratio)","snapshot not found must exit with clear error; empty snapshot is valid result",lift_without_behavior_change,Future engine query candidate for showing snapshot detail and file listing,Inventory only; no API implementation
OPC-11012-008,snapshot_delete,snapshot,catalog_operation,P1,snapshot_immutability,"cmd/coldkeep/main.go:runSnapshotDeleteCommand; internal/snapshot/snapshot.go:DeleteSnapshot()","CLI-BC-11012-034","DBFS-11012-011","candidate fields: snapshot_id or query; force flag; dry-run flag showing lineage preview","candidate fields: deleted snapshot_id; lineage preview list on dry-run; warning if child snapshots exist","dry-run must show lineage before any delete; force required for non-leaf deletes; must not delete underlying logical files",wrap_existing_behavior,Future catalog operation candidate for deleting a snapshot,Inventory only; no API implementation
OPC-11012-009,snapshot_restore,snapshot,filesystem_sensitive_operation,P0,deterministic_restore,"cmd/coldkeep/main.go:runSnapshotRestoreCommand; internal/snapshot/snapshot.go:RestoreSnapshot()","CLI-BC-11012-036","DBFS-11012-015; DBFS-11012-006; DBFS-11012-024","candidate fields: snapshot query; destination mode; overwrite flag; workers; dry-run flag","candidate fields: files restored; bytes; skipped; failed; duration_ms","must apply same deterministic_restore invariants as restore_file_by_id for each file; no partial-batch success ambiguity",wrap_existing_behavior,Future engine operation candidate for restoring all files in a snapshot,Inventory only; no API implementation
OPC-11012-010,snapshot_diff,snapshot,engine_query,P2,catalog_consistency,"cmd/coldkeep/main.go:runSnapshotDiffCommand; internal/snapshot/snapshot.go:DiffSnapshotsSummarySQL","CLI-BC-11012-035","DBFS-11012-014","candidate fields: left snapshot query; right snapshot query; filter (added/removed/modified); summary flag","candidate fields: diff entries list with path/status; summary counts (added/removed/modified/unchanged)","summary path and detail path must return equivalent totals; deterministic ordering by path",lift_without_behavior_change,Future engine query candidate for diffing two snapshots,Inventory only; no API implementation
