invariant_id,tier,invariant,primary_packages,supporting_packages,evidence_status,coverage_signal,current_evidence,future_gap,release_action
CK-INV-GC-REACHABILITY,Tier 1,"GC must never delete snapshot-reachable or current-live data.","internal/gc; internal/maintenance","internal/graph; internal/snapshot; internal/retention","covered","internal/gc 81.2%; internal/maintenance 47.6%","GC package baseline is strong; maintenance orchestration is lower visibility but already tracked as Tier 1.","Map maintenance orchestration paths in future coverage hardening; do not add broad tests in Phase 4.","record baseline and map invariant"
CK-INV-RESTORE-DETERMINISM,Tier 1,"Restore must be deterministic and must reconstruct the intended bytes and paths.","internal/storage","internal/snapshot; internal/container; internal/blocks","partial","internal/storage 67.7%; internal/container 62.1%; internal/blocks 85.1%","Storage and block coverage are visible; restore path is critical and broad; deterministic restore evidence exists but should remain explicitly mapped.","Future hardening should focus on stored-path modes, overwrite behavior, packed/legacy restore parity, and interrupted restore evidence.","record baseline and map invariant"
CK-INV-VERIFY-FAIL-CLOSED,Tier 1,"Verify must fail closed on corrupted or inconsistent catalog/storage state.","internal/verify","internal/storage; internal/container; internal/blocks","covered","internal/verify 66.6%; internal/storage 67.7%; internal/container 62.1%; internal/blocks 85.1%","Verify has moderate baseline coverage and existing corruption-path evidence.","Future work should map individual corruption classes to tests rather than chasing raw coverage.","record baseline and map invariant"
CK-INV-RECOVERY-FAIL-CLOSED,Tier 1,"Recovery must not legitimize corrupt mappings or ambiguous physical state.","internal/recovery","internal/storage; internal/db","partial","internal/recovery 44.9%; internal/storage 67.7%; internal/db 76.6%","Recovery is low-visibility Tier 1 baseline and should be treated as future hardening priority.","Future work should add invariant-focused recovery coverage for quarantine, orphan containers, stale metadata, and interrupted operations.","record low-visibility priority"
CK-INV-SNAPSHOT-ROOTS,Tier 1,"Snapshots must remain immutable roots for restore and retention.","internal/snapshot","internal/gc; internal/retention; internal/graph","covered","internal/snapshot 86.3%; internal/gc 81.2%; internal/retention 82.1%; internal/graph 75.3%","Snapshot and supporting graph/retention packages have strong baseline coverage.","Future work should preserve current evidence and avoid regressions.","record baseline and map invariant"
CK-INV-PACKED-LEGACY-PARITY,Tier 1,"Packed and legacy storage behavior must remain semantically aligned.","internal/storage; internal/blocks","internal/verify; internal/container; internal/maintenance","covered","internal/storage 67.7%; internal/blocks 85.1%; internal/verify 66.6%; internal/container 62.1%","Packed/legacy evidence is present across storage, blocks, verify, and container packages.","Future work should map packed-only, legacy-only, and mixed-repository cases explicitly.","record baseline and map invariant"
CK-INV-PHYSICAL-METADATA-REUSE,Tier 1,"Reclaim/rebuild must not reuse stale or inconsistent physical metadata.","internal/storage","internal/db; internal/container","covered","internal/storage 67.7%; internal/db 76.6%; internal/container 62.1%","v1.10.6 introduced a narrow CI-blocker fix and regression evidence for stale metadata cleanup.","Future work should keep this invariant represented in coverage and adversarial CI.","record v1.10.6 regression invariant"
CK-INV-CATALOG-COMPAT,Tier 2,"Catalog schema, migration, and capability detection must preserve semantics across supported backends.","internal/db","internal/graph; internal/storage; internal/snapshot","covered","internal/db 76.6%; internal/graph 75.3%; internal/storage 67.7%; internal/snapshot 86.3%","Catalog compatibility has visible baseline coverage and is central to SQLite/PostgreSQL compatibility.","Future work should connect this to dual-backend coverage gates after v1.10.7.","record baseline and map invariant"
CK-INV-CONTAINER-PLACEMENT,Tier 2,"Container reads/writes must preserve payload integrity and placement bounds.","internal/container","internal/storage; internal/blocks; internal/verify","partial","internal/container 62.1%; internal/storage 67.7%; internal/blocks 85.1%; internal/verify 66.6%","Container coverage is moderate and supports restore/verify correctness.","Future work should map encrypted/compressed placement, header rejection, offset bounds, and short-read cases.","record baseline and map invariant"
CK-INV-RETENTION-POLICY,Tier 2,"Retention policy must preserve required snapshots and roots.","internal/retention","internal/snapshot; internal/gc; internal/graph","covered","internal/retention 82.1%; internal/snapshot 86.3%; internal/gc 81.2%; internal/graph 75.3%","Retention has strong baseline coverage through direct and supporting packages.","Future work should ensure policy decisions remain aligned with snapshot delete and GC planning.","record baseline and map invariant"
CK-INV-CLI-JSON-CONTRACT,Tier 3,"CLI and JSON contracts must remain stable where automation depends on them.","cmd/coldkeep","internal/observability; scripts","observe-only","cmd/coldkeep 64.7%; internal/observability 77.1%; scripts n/a","CLI/JSON remains observe-only in v1.10.7 to avoid turning this into a CLI cleanup release.","Future work may add targeted contract coverage if tied to automation correctness.","observe only"
CK-INV-BENCHMARK-ARTIFACTS,Tier 3,"Benchmark and release artifacts should remain deterministic and schema-valid.","internal/benchmark; scripts","docs/release/v1.10","observe-only","internal/benchmark 82.2%; scripts n/a","Benchmark/reporting concerns remain visible but not release-blocking in v1.10.7.","Future cleanup should be separate unless required by coverage tooling.","observe only"
