classification_id,phase,inventory_id,package,file_path,operation,seam_group,seam_priority,v1108_scope,phase_target,notes
CK-1108-P2-001,Phase 2,CK-1108-P1-001,storage,internal/storage/store.go,os.Open,FileOpen,HIGH,IN_SCOPE,6,"hash identity file open; grouped with restore FileOpen"
CK-1108-P2-002,Phase 2,CK-1108-P1-002,storage,internal/storage/store.go,os.Stat,FileStat,HIGH,IN_SCOPE,6,"placement validation Stat; grouped with restore FileStat"
CK-1108-P2-003,Phase 2,CK-1108-P1-003,storage,internal/storage/store.go,filepath.WalkDir,DirWalk,HIGH,IN_SCOPE,6,"restore traversal; sole DirWalk seam"
CK-1108-P2-004,Phase 2,CK-1108-P1-005,storage,internal/storage/restore.go,os.Stat,FileStat,CRITICAL,IN_SCOPE,6,"restore destination safety; primary FileStat seam"
CK-1108-P2-005,Phase 2,CK-1108-P1-006,storage,internal/storage/restore.go,os.MkdirAll,DirCreate,CRITICAL,IN_SCOPE,6,"restore parent dir creation; primary DirCreate seam"
CK-1108-P2-006,Phase 2,CK-1108-P1-007,storage,internal/storage/restore.go,os.Remove,FileRemove,CRITICAL,IN_SCOPE,6,"restore failure-path cleanup; primary FileRemove seam"
CK-1108-P2-007,Phase 2,CK-1108-P1-008,storage,internal/storage/restore.go,File.Sync,FileSync,CRITICAL,IN_SCOPE,6,"restore durability sync; primary FileSync seam"
CK-1108-P2-008,Phase 2,CK-1108-P1-009,storage,internal/storage/restore.go,os.Rename,FileRename,CRITICAL,IN_SCOPE,6,"restore atomic commit; sole FileRename seam"
CK-1108-P2-009,Phase 2,CK-1108-P1-010,storage,internal/storage/restore.go,os.Open,FileOpen,HIGH,IN_SCOPE,6,"parent dir open for fsync; grouped with store FileOpen"
CK-1108-P2-010,Phase 2,CK-1108-P1-011,container,internal/container/container.go,os.OpenFile,FileOpen,CRITICAL,IN_SCOPE,7,"container create/open; primary container FileOpen seam"
CK-1108-P2-011,Phase 2,CK-1108-P1-012,container,internal/container/container.go,os.MkdirAll,DirCreate,HIGH,IN_SCOPE,7,"container root dir creation; secondary DirCreate"
CK-1108-P2-012,Phase 2,CK-1108-P1-013,container,internal/container/container.go,os.Remove,FileRemove,CRITICAL,IN_SCOPE,7,"container retirement delete; primary container FileRemove seam"
CK-1108-P2-013,Phase 2,CK-1108-P1-014,container,internal/container/container.go,os.Stat,FileStat,HIGH,IN_SCOPE,7,"container file existence/size; secondary FileStat"
CK-1108-P2-014,Phase 2,CK-1108-P1-015,container,internal/container/container.go,File.Sync,FileSync,CRITICAL,IN_SCOPE,7,"container durability sync; primary container FileSync seam"
CK-1108-P2-015,Phase 2,CK-1108-P1-016,container,internal/container/container.go,File.Write,FileWrite,CRITICAL,IN_SCOPE,7,"container header/payload write; primary FileWrite seam"
CK-1108-P2-016,Phase 2,CK-1108-P1-017,container,internal/container/local_writer.go,os.MkdirAll,DirCreate,HIGH,IN_SCOPE,7,"writer path prep; grouped with container DirCreate"
CK-1108-P2-017,Phase 2,CK-1108-P1-018,container,internal/container/local_writer.go,os.Stat,FileStat,HIGH,IN_SCOPE,7,"truncate verification; grouped with container FileStat"
CK-1108-P2-018,Phase 2,CK-1108-P1-019,container,internal/container/local_writer.go,File.Sync,FileSync,CRITICAL,IN_SCOPE,7,"writer sync before commit/rotate; grouped with container FileSync"
CK-1108-P2-019,Phase 2,CK-1108-P1-020,container,internal/container/format.go,File.Write,FileWrite,HIGH,IN_SCOPE,7,"format header write; grouped with container FileWrite"
CK-1108-P2-020,Phase 2,CK-1108-P1-021,recovery,internal/recovery/system_recovery.go,os.Stat,FileStat,HIGH,IN_SCOPE,8,"recovery file-state checks; recovery FileStat seam"
CK-1108-P2-021,Phase 2,CK-1108-P1-022,recovery,internal/recovery/system_recovery.go,os.ReadDir,DirRead,HIGH,IN_SCOPE,8,"orphan container scan; sole DirRead seam"
CK-1108-P2-022,Phase 2,CK-1108-P1-025,maintenance,internal/maintenance/gc.go,os.Remove,FileRemove,CRITICAL,IN_SCOPE,8,"GC physical container delete; GC FileRemove seam"
