id,assumption_name,assumption_category,backend_scope,risk_level,current_owner_files,current_owner_symbols,future_action,migration_rule_ref,summary,evidence,notes
DBA-11012-001,do_not_change_default_backend_in_v11012,backend_selection,backend_agnostic,critical,"docs/release/v1.10/v1.10.12-scope.md; go.mod; internal/db/db.go","repository initialization and DB open paths",preserve_as_is,do_not_change_default_backend,"v1.10.12 must not alter backend defaults while preparing engine-boundary evidence","Phase 1 scope contract; Phase 6 MIG-11012-030 and MIG-11012-031 forbid default DB backend changes","Inventory only; no behavior change"
DBA-11012-002,sqlite_and_postgres_remain_dual_targets,backend_selection,dual_backend,critical,"internal/db/backend.go; internal/db/db.go","BackendPostgres; BackendSQLite; BackendFromDB",preserve_as_is,preserve_sqlite_postgres_compatibility,"Both SQLite and PostgreSQL must remain supported catalog backends through v1.10.12 and into v1.11 planning","internal/db/backend.go defines BackendPostgres=postgres and BackendSQLite=sqlite; both used in capability detection","Phase 6 MIG-11012-027 is release blocker"
DBA-11012-003,sqlite_pragma_busy_timeout_is_sqlite_only,backend_selection,sqlite_only,high,"internal/db/db.go","busy_timeout PRAGMA; SQLite open path",document_before_v1.11,preserve_sqlite_postgres_compatibility,"PRAGMA busy_timeout is SQLite-specific; any abstraction must not leak this to PostgreSQL paths","internal/db/db.go applies PRAGMA busy_timeout for SQLite connection timeouts; no equivalent in PostgreSQL path","Dialect difference must be preserved in any facade"
DBA-11012-004,postgres_dsn_from_env_vars,connection_config,postgres_only,high,"internal/db/db.go","buildPostgresConnStringForDatabase; DB_HOST; DB_PORT; DB_USER; DB_PASSWORD; DB_NAME; DB_SSLMODE",document_before_v1.11,preserve_sqlite_postgres_compatibility,"PostgreSQL connection requires DB_HOST/PORT/USER/PASSWORD/NAME/SSLMODE env vars; SQLite uses file path or :memory:","internal/db/db.go builds DSN from env vars for PostgreSQL; no env-var DSN for SQLite","Future engine/catalog facade must preserve this env-var contract"
DBA-11012-005,postgres_session_timeouts,connection_config,postgres_only,medium,"internal/db/db.go","statement_timeout=30000ms; lock_timeout=5000ms; idle_in_transaction_session_timeout=60000ms",preserve_as_is,preserve_sqlite_postgres_compatibility,"PostgreSQL connections apply session-level timeouts via SET commands; SQLite uses PRAGMA busy_timeout instead","internal/db/db.go applies statement/lock/idle_in_tx timeouts after opening a PostgreSQL connection","SQLite has no equivalent session-level timeout commands"
DBA-11012-006,postgres_connection_pooling,connection_config,postgres_only,medium,"internal/db/db.go","SetMaxOpenConns(25); SetMaxIdleConns(5)",preserve_as_is,preserve_sqlite_postgres_compatibility,"PostgreSQL uses connection pooling (max_open=25 max_idle=5); SQLite in-memory or single-file does not require pooling","internal/db/db.go sets connection pool parameters on PostgreSQL db handle","Any future facade must preserve these differences per backend"
DBA-11012-007,ensure_schema_unified_bootstrap_must_preserve_both,schema_bootstrap,dual_backend,critical,"internal/db/migrations.go; internal/db/db.go","EnsureSchema; EnsureSQLiteSchema; EnsurePostgresSchema",requires_catalog_contract,preserve_migration_bootstrap_compatibility,"EnsureSchema is the unified bootstrap entry point; it must continue to route to the correct backend-specific path","internal/db/migrations.go EnsureSchema() branches on backend type to call EnsureSQLiteSchema or EnsurePostgresSchema","Any catalog contract must preserve this routing"
DBA-11012-008,ensure_sqlite_schema_path_must_remain,schema_bootstrap,sqlite_only,high,"internal/db/migrations.go; db/schema_sqlite.sql; db/embed.go","EnsureSQLiteSchema; sqliteTableExistsWithContext; RunMigrations",requires_catalog_contract,preserve_migration_bootstrap_compatibility,"The SQLite schema bootstrap path must remain operative; v1.10.12 must not remove or stub it out","internal/db/migrations.go EnsureSQLiteSchema() applies schema_sqlite.sql v15 migrations; db/embed.go embeds the file","Catalog contract must not bypass this path"
DBA-11012-009,ensure_postgres_schema_path_must_remain,schema_bootstrap,postgres_only,high,"internal/db/migrations.go; db/schema_postgres.sql; db/embed.go","EnsurePostgresSchema; EnsureSchema",requires_catalog_contract,preserve_migration_bootstrap_compatibility,"The PostgreSQL schema bootstrap path must remain operative; v1.10.12 must not remove or stub it out","internal/db/migrations.go EnsurePostgresSchema() applies schema_postgres.sql v15 migrations; db/embed.go embeds the file","Phase 6 MIG-11012-031 is release blocker"
DBA-11012-010,schema_versioning_targets_v15_on_both,schema_migration,dual_backend,critical,"internal/db/schema_version.go; internal/db/migrations.go","schema version v15; schema_versions table",requires_dual_backend_test,preserve_migration_bootstrap_compatibility,"Both SQLite and PostgreSQL target schema version 15; version tracking must remain deterministic on both backends","internal/db/schema_version.go tracks version; both schemas are versioned at v15 per db/schema_sqlite.sql and db/schema_postgres.sql","Version drift between backends would be a catalog correctness bug"
