matrix_id,root_invariant,title,summary,source_issue_ids,release_target,status,severity,domain,secondary_domains,data_loss_risk,security_risk,determinism_risk,recovery_risk,affected_commands,affected_files,expected_invariant,planned_fix,required_regression_tests,required_ci_gates,acceptance_criteria,closure_proof,decision_rationale,notes
CK-110-M001,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Review dynamic SQL scanner findings,Groups 37 raw finding(s) from codacy under one remediation invariant.,CK-110-0133;CK-110-0160;CK-110-0304;CK-110-0305;CK-110-0308;CK-110-0310;CK-110-0380;CK-110-0383;CK-110-0431;CK-110-0458;CK-110-0461;CK-110-0481;CK-110-0559;CK-110-0609;CK-110-0654;CK-110-0667;CK-110-0747;CK-110-0803;CK-110-0813;CK-110-0830;CK-110-0834;CK-110-0890;CK-110-0948;CK-110-0986;CK-110-0997;CK-110-1098;CK-110-1121;CK-110-1129;CK-110-1187;CK-110-1194;CK-110-1196;CK-110-1199;CK-110-1205;CK-110-1217;CK-110-1268;CK-110-1349;CK-110-1356,backlog,triaged,S1,migration,,none,medium,none,none,,db/schema_postgres.sql;internal/db/migrations.go;db/schema_sqlite.sql;internal/db/db.go,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=37; sources=codacy
CK-110-M002,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Review dynamic SQL scanner findings,Groups 5 raw finding(s) from codacy under one remediation invariant.,CK-110-0069;CK-110-0497;CK-110-1020;CK-110-1042;CK-110-1408,backlog,triaged,S1,snapshot,,none,medium,none,none,,internal/snapshot/path_resolver.go;internal/snapshot/snapshot.go,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=5; sources=codacy
CK-110-M003,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Groups 2 raw finding(s) from codacy under one remediation invariant.,CK-110-0215;CK-110-1069,backlog,triaged,S1,snapshot,,none,medium,none,none,0600,internal/snapshot/snapshot.go,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=2; sources=codacy
CK-110-M004,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Review dynamic SQL scanner findings,Groups 11 raw finding(s) from codacy under one remediation invariant.,CK-110-0118;CK-110-0184;CK-110-0282;CK-110-0455;CK-110-0484;CK-110-0510;CK-110-0749;CK-110-0840;CK-110-0976;CK-110-1218;CK-110-1435,backlog,triaged,S1,storage,,medium,medium,medium,none,,internal/storage/store.go;internal/storage/repository_config.go;internal/container/container.go;internal/container/simulated_writer.go,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=11; sources=codacy
CK-110-M005,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Review dynamic filesystem path scanner findings,Groups 3 raw finding(s) from codacy under one remediation invariant.,CK-110-0744;CK-110-1371;CK-110-1433,backlog,triaged,S1,storage,,medium,medium,medium,none,,internal/container/container.go,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=3; sources=codacy
CK-110-M006,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Groups 12 raw finding(s) from codacy under one remediation invariant.,CK-110-0142;CK-110-0182;CK-110-0241;CK-110-0366;CK-110-0370;CK-110-0632;CK-110-0729;CK-110-0938;CK-110-0975;CK-110-1101;CK-110-1292;CK-110-1330,backlog,triaged,S1,storage,,medium,medium,medium,none,0600,internal/container/container.go;internal/container/local_writer.go,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=12; sources=codacy
CK-110-M007,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic use,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,Groups 1 raw finding(s) from codacy under one remediation invariant.,CK-110-0910,backlog,triaged,S1,storage,,medium,medium,medium,none,math/rand;crypto/rand,internal/container/local_writer.go,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic use,Track as non-blocking cleanup or policy decision.,required: regression/adversarial/integration coverage before closure,none,"All source findings are fixed, accepted, deferred, suppressed, or duplicated with closure proof.",,,source_count=1; sources=codacy
CK-110-M008,JSON mode must be consistently accepted and emit machine-consumable output,Stabilize JSON shorthand and machine output contract,Groups 14 raw finding(s) from external-audit under one remediation invariant.,CK-110-1476;CK-110-1477;CK-110-1478;CK-110-1479;CK-110-1480;CK-110-1481;CK-110-1520;CK-110-1554;CK-110-1558;CK-110-1559;CK-110-1566;CK-110-1860;CK-110-1861;CK-110-1885,v1.10.1,triaged,S1,json,,none,none,high,none,list --json;search --json;remove --json;gc --json;repair --json;config get --json;scripts/summarize_phase8_blocksize.py --json-output;snapshot stats --json;--json;config --json;--output json;init --json;validate_regression_thresholds.py --json-report;simulate store --json;simulate;simulate store-folder --json,,JSON mode must be consistently accepted and emit machine-consumable output,Centralize CLI/JSON contract validation and add command-level regression tests.,required: regression/adversarial/integration coverage before closure,required: CI or release-gate check candidate,Affected CLI/JSON cases fail safely or emit valid machine-consumable output; no state mutation on invalid input.,,,source_count=14; sources=external-audit
CK-110-M009,Supported Go toolchain must not carry known unplanned CVEs,Resolve Go toolchain vulnerability baseline,Groups 46 raw finding(s) from codacy under one remediation invariant.,CK-110-0012;CK-110-0058;CK-110-0097;CK-110-0103;CK-110-0112;CK-110-0121;CK-110-0147;CK-110-0154;CK-110-0181;CK-110-0250;CK-110-0268;CK-110-0270;CK-110-0285;CK-110-0309;CK-110-0311;CK-110-0336;CK-110-0345;CK-110-0365;CK-110-0385;CK-110-0472;CK-110-0487;CK-110-0494;CK-110-0516;CK-110-0656;CK-110-0701;CK-110-0725;CK-110-0734;CK-110-0906;CK-110-0941;CK-110-1001;CK-110-1014;CK-110-1028;CK-110-1039;CK-110-1040;CK-110-1055;CK-110-1065;CK-110-1116;CK-110-1169;CK-110-1236;CK-110-1237;CK-110-1284;CK-110-1311;CK-110-1329;CK-110-1338;CK-110-1352;CK-110-1412,v1.10.2,triaged,S1,dependencies,,none,medium,none,none,,go.mod,Supported Go toolchain must not carry known unplanned CVEs,Centralize validation/security hardening and add invalid-input regression tests.,required: regression/adversarial/integration coverage before closure,required: CI or release-gate check candidate,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=46; sources=codacy
CK-110-M010,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Review dynamic filesystem path scanner findings,Groups 1 raw finding(s) from codacy under one remediation invariant.,CK-110-0752,v1.10.2,triaged,S1,filesystem,,none,medium,none,none,,internal/iodebug/counters.go,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,Centralize validation/security hardening and add invalid-input regression tests.,required: regression/adversarial/integration coverage before closure,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=1; sources=codacy
CK-110-M011,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Groups 2 raw finding(s) from codacy under one remediation invariant.,CK-110-0204;CK-110-1136,v1.10.2,triaged,S1,filesystem,,none,medium,none,none,0600,internal/iodebug/counters.go,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Centralize validation/security hardening and add invalid-input regression tests.,required: regression/adversarial/integration coverage before closure,none,Invalid validation/security cases are rejected before unsafe/stateful work where practical.,,,source_count=2; sources=codacy
