package,tier,domain,primary_invariant,coverage_role,gate_mode,notes
internal/storage,Tier 1,storage,"Restore must be deterministic and physical payload metadata must resolve to valid bytes.","release-critical coverage target",baseline-report,"Includes restore/store/reclaim/packed-legacy behavior."
internal/verify,Tier 1,verify,"Verify must fail closed on corrupted or inconsistent catalog/storage state.","release-critical coverage target",baseline-report,"Includes payload hash, packed refs, legacy blocks, and repository verification."
internal/maintenance,Tier 1,gc-repair-stats,"Maintenance must not delete or legitimize reachable/corrupt data.","release-critical coverage target",baseline-report,"Includes GC/repair/stats orchestration."
internal/gc,Tier 1,gc,"GC must never delete snapshot-reachable or current-live data.","release-critical coverage target",baseline-report,"Includes reachability plans and delete eligibility."
internal/snapshot,Tier 1,snapshot,"Snapshots must remain immutable roots for restore and retention.","release-critical coverage target",baseline-report,"Includes create/list/delete/restore graph behavior."
internal/recovery,Tier 1,recovery,"Recovery must fail closed and must not legitimize corrupt mappings.","release-critical coverage target",baseline-report,"Includes quarantine and interrupted-state recovery."
internal/db,Tier 2,catalog,"Schema bootstrap and migration must preserve catalog semantics across backends.","catalog-critical coverage target",baseline-report,"SQLite and PostgreSQL compatibility matter."
internal/graph,Tier 2,graph,"Catalog graph traversal must preserve reachability semantics.","catalog-critical coverage target",baseline-report,"Supports GC, snapshot, stats, inspect, and verify."
internal/blocks,Tier 2,blocks,"Packed and legacy block abstractions must remain semantically aligned.","storage-infrastructure coverage target",baseline-report,"Supports packed block metadata and payload access."
internal/container,Tier 2,container,"Container reads/writes must preserve payload integrity and placement bounds.","storage-infrastructure coverage target",baseline-report,"Includes header/payload placement logic."
internal/retention,Tier 2,retention,"Retention policies must preserve required snapshots and roots.","policy-critical coverage target",baseline-report,"Supports snapshot lifecycle safety."
cmd/coldkeep,Tier 3,cli,"CLI/JSON contracts must remain stable where automation depends on them.","observe-only",report-only,"Do not gate globally in v1.10.7."
internal/observability,Tier 3,observability,"Stats and inspect must reflect true repository state without mutation.","observe-only",report-only,"Important but not initial gate target."
internal/benchmark,Tier 3,benchmark,"Benchmark reports must be deterministic and schema-valid.","observe-only",report-only,"Avoid mixing benchmark cleanup into v1.10.7 unless coverage script needs it."
