rule_id,severity,confidence,file,line,column,details,code,triage_decision,triage_rationale,release_action,notes
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/chunk/fastcdc/chunker.go,134,20,integer overflow conversion uint64 -> uint32,"133: 		z = (z ^ (z >> 27)) * 0x94d049bb133111eb
134: 		table[i] = uint32(z ^ (z >> 31))
135: 	}
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3157,9,integer overflow conversion uint64 -> int64,"3156: 			int64(entry.Offset),
3157: 			int64(entry.Size),
3158: 		); err != nil {
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3156,9,integer overflow conversion uint64 -> int64,"3155: 			blockID,
3156: 			int64(entry.Offset),
3157: 			int64(entry.Size),
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3154,9,integer overflow conversion uint64 -> int64,"3153: 			 ON CONFLICT (chunk_id) DO NOTHING`,
3154: 			int64(entry.ChunkID),
3155: 			blockID,
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3146,17,integer overflow conversion uint64 -> int64,"3145: 			Offset: payloadPrefixBytes + int64(entry.Offset),
3146: 			Size:   int64(entry.Size),
3147: 		}
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3145,38,integer overflow conversion uint64 -> int64,"3144: 		segments[int64(entry.ChunkID)] = packedChunkSegment{
3145: 			Offset: payloadPrefixBytes + int64(entry.Offset),
3146: 			Size:   int64(entry.Size),
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/storage/store.go,3144,17,integer overflow conversion uint64 -> int64,"3143: 	for _, entry := range enc.encodedBlock.Entries {
3144: 		segments[int64(entry.ChunkID)] = packedChunkSegment{
3145: 			Offset: payloadPrefixBytes + int64(entry.Offset),
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/container/local_writer.go,325,23,integer overflow conversion uint64 -> int64,"324: 		n := binary.LittleEndian.Uint64(b[:])
325: 		return time.Duration(n % uint64(max+1))
326: 	}
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/container/format.go,153,21,integer overflow conversion uint64 -> int64,"152: 		CreatedAt:   int64(binary.LittleEndian.Uint64(h[hdrCreatedAt:hdrMaxSize])),
153: 		MaxSize:     int64(binary.LittleEndian.Uint64(h[hdrMaxSize:hdrUIDStart])),
154: 		CodecID:     codecID,
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
G115,HIGH,MEDIUM,/workspaces/coldkeep/internal/container/format.go,152,21,integer overflow conversion uint64 -> int64,"151: 		Flags:       binary.LittleEndian.Uint32(h[hdrFlags:hdrCreatedAt]),
152: 		CreatedAt:   int64(binary.LittleEndian.Uint64(h[hdrCreatedAt:hdrMaxSize])),
153: 		MaxSize:     int64(binary.LittleEndian.Uint64(h[hdrMaxSize:hdrUIDStart])),
",defer-baseline,Finding is inherited baseline debt outside the changed release delta; document and defer unless later triage selects a narrow fix-now case.,defer,baseline_not_in_changed_go_file
