ck_id,matrix_id,phase_owner,source,source_id,source_file,source_line,severity,domain,status,decision,title,root_invariant,validation_command,closure_proof,notes
CK-110-1444,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0001,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`inspect repository extra` accepts extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Extra args after a valid inspect target are ignored instead of rejected.
CK-110-1445,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0002,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`inspect snapshot <id> extra` also ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Same positional validation gap in snapshot inspect mode.
CK-110-1446,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0003,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`verify system extra` ignores extra positional args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Additional tokens after verification mode are silently accepted.
CK-110-1447,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0004,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`verify file 123 fast extra` ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Positional verify-level parsing stops early and leaves garbage unvalidated.
CK-110-1448,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0005,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot stats extra` ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Command accepts positional noise after the subcommand.
CK-110-1449,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0006,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`simulate store file1 extra` ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Only the first file is used; remaining args are discarded silently.
CK-110-1450,CK-110-M033,Phase 9 — Pre-Stateful Validation Ordering,external-audit,EXT-RAW-0007,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,validation,triaged,investigate,`config get compression-level extra` loads repository before rejecting,CLI validation must happen before repository initialization when possible,,,family=EXT-VAL-005; audit_detail=Extra-arg validation happens after repository/storage initialization work.; s0_s1_review=downgraded-s2
CK-110-1451,CK-110-M029,Phase 3 — Unexpected Positional Arguments,external-audit,EXT-RAW-0008,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`repair ref-counts extra` ignores trailing args,Commands must reject unexpected positional arguments before stateful work,,,family=EXT-CLI-001; audit_detail=Additional positional args are accepted and unused.
CK-110-1470,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0027,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`list --sort size --reverse=false` still reverses,Boolean flags with explicit false must not be interpreted as true,,,family=EXT-CLI-003; audit_detail=Boolean-value parser bug affects list ordering behavior directly.
CK-110-1471,CK-110-M028,Phase 5 — Boolean Explicit False Semantics,external-audit,EXT-RAW-0028,docs/release/v1.10/evidence/third_party_coldkeep_v1.9.0_code_analysis.baseline.txt,,S2,cli,triaged,investigate,`snapshot list --reverse=false` still reverses,Boolean flags with explicit false must not be interpreted as true,,,family=EXT-CLI-003; audit_detail=Same issue in snapshot listing.
