matrix_id,selection,release_target,severity,domain,title,root_invariant,source_issue_ids,affected_commands,include_score,exclude_score,phase_owner,decision,rationale
CK-110-M008,candidate,v1.10.1,S1,json,Stabilize JSON shorthand and machine output contract,JSON mode must be consistently accepted and emit machine-consumable output,CK-110-1476;CK-110-1477;CK-110-1478;CK-110-1479;CK-110-1480;CK-110-1481;CK-110-1520;CK-110-1554;CK-110-1558;CK-110-1559;CK-110-1566;CK-110-1860;CK-110-1861;CK-110-1885,list --json;search --json;remove --json;gc --json;repair --json;config get --json;scripts/summarize_phase8_blocksize.py --json-output;snapshot stats --json;--json;config --json;--output json;init --json;validate_regression_thresholds.py --json-report;simulate store --json;simulate;simulate store-folder --json,5,3,Phase 7 — JSON Shorthand Consistency / Phase 8 — JSON Output Contract Validation,needs-split,"Row combines shorthand acceptance and machine-output purity; split execution across Phases 7 and 8, then record final closure in Phase 10."
CK-110-M010,review-excluded-candidate,v1.10.2,S1,filesystem,Review dynamic filesystem path scanner findings,Dynamic filesystem path findings must be reviewed for root containment and trust boundaries,CK-110-0752,,1,1,,exclude,Filesystem-path review work belongs to v1.10.2 and is outside the v1.10.1 CLI/JSON contract scope.
CK-110-M011,review-excluded-candidate,v1.10.2,S1,filesystem,Filesystem permission scanner findings must be reviewed by runtime area and threat model,Filesystem permission scanner findings must be reviewed by runtime area and threat model,CK-110-0204;CK-110-1136,0600,1,1,,exclude,Filesystem permission review is not part of the v1.10.1 CLI/JSON remediation release.
CK-110-M012,review-excluded-candidate,v1.10.2,S1,security,Review dynamic SQL scanner findings,Dynamic SQL scanner findings must be reviewed for parameterization or safe identifier constraints,CK-110-0013;CK-110-0014;CK-110-0040;CK-110-0185;CK-110-0666;CK-110-0987;CK-110-1052;CK-110-1243,,1,1,,exclude,"Dynamic SQL review is security/database work, not CLI/JSON contract stabilization."
CK-110-M013,review-excluded-candidate,v1.10.2,S1,validation,Reject empty or whitespace-only filters,Explicit empty or whitespace-only filters must be rejected before query execution,CK-110-1452;CK-110-1453;CK-110-1454;CK-110-1462;CK-110-1463;CK-110-1468;CK-110-1482;CK-110-1492;CK-110-1507;CK-110-1511;CK-110-1519;CK-110-1521;CK-110-1525;CK-110-1567;CK-110-1600;CK-110-1636;CK-110-1674;CK-110-1676;CK-110-1678;CK-110-1710;CK-110-1735;CK-110-1740;CK-110-1760;CK-110-1781;CK-110-1784;CK-110-1792;CK-110-1800;CK-110-1803;CK-110-1904;CK-110-1918;CK-110-1941;CK-110-1955;CK-110-1964;CK-110-1975,"search --path """";snapshot list --path """";remove --path """";search --name "" "";inspect file --limit 0;search --extension """";list --limit 0;repair ref-counts --batch --input """";snapshot create --id """";simulate gc --delete-snapshot """";snapshot list --limit 0;search --name """";runSnapshotCreateCommand;--id;snapshot create missing_dir/;.env.example;--codec=;--output=;snapshot show --limit 0;snapshot diff snap snap;store-folder;snapshot_file;graph.GetReachableChunks();json.Marshal",2,2,,defer,Input-validation family is adjacent to CLI work but broader than the locked v1.10.1 scope; keep it in v1.10.2 validation hardening.
CK-110-M017,review-excluded-candidate,v1.10.5,S1,restore,Restore mode value flags must reject empty values before fallback behavior,Restore mode value flags must reject empty values before fallback behavior,CK-110-1502;CK-110-1503;CK-110-1629;CK-110-1675;CK-110-1681;CK-110-1682;CK-110-1701;CK-110-1749;CK-110-1836;CK-110-1988,"remove --stored-path """" 123;restore --stored-path """" ...;NormalizeSnapshotPath();--mode=;original;restore --input """";remove --input """";snapshot restore snap missing_dir/;remove --stored-paths --input """";inspect block",1,2,,defer,Restore-specific value validation is intentionally held for the restore/recovery release rather than v1.10.1.
CK-110-M018,review-excluded-candidate,v1.10.6,S1,benchmark,Command execution findings must be reviewed for trusted executable and argument boundaries,Command execution findings must be reviewed for trusted executable and argument boundaries,CK-110-0046;CK-110-1442,,1,1,,exclude,"Trusted executable and argument-boundary review belongs to benchmark/tooling hardening, not v1.10.1 CLI contracts."
CK-110-M023,review-excluded-candidate,v1.10.6,S1,codacy,Command execution findings must be reviewed for trusted executable and argument boundaries,Command execution findings must be reviewed for trusted executable and argument boundaries,CK-110-0171;CK-110-0326;CK-110-0568;CK-110-0726;CK-110-1089;CK-110-1221;CK-110-1405;CK-110-1418,,1,1,,exclude,Codacy/command-execution review is outside the locked v1.10.1 scope.
CK-110-M028,candidate,v1.10.1,S2,cli,Normalize explicit false boolean flag handling,Boolean flags with explicit false must not be interpreted as true,CK-110-1470;CK-110-1471;CK-110-1513;CK-110-1514;CK-110-1576;CK-110-1591;CK-110-1592,list --sort size --reverse=false;snapshot list --reverse=false;snapshot delete --force=false;snapshot delete --dry-run=false;parseCommandLine;=false,7,1,Phase 5 — Boolean Explicit False Semantics,include,Direct v1.10.1 boolean-flag parsing scope.
CK-110-M029,candidate,v1.10.1,S2,cli,Reject ignored extra positional arguments,Commands must reject unexpected positional arguments before stateful work,CK-110-1444;CK-110-1445;CK-110-1446;CK-110-1447;CK-110-1448;CK-110-1449;CK-110-1451;CK-110-1484;CK-110-1485;CK-110-1486;CK-110-1516;CK-110-1517;CK-110-1549;CK-110-1663;CK-110-1683,inspect repository extra;inspect snapshot <id> extra;verify system extra;verify file 123 fast extra;snapshot stats extra;simulate store file1 extra;repair ref-counts extra;init;version;help;simulate store;simulate gc;search;verify file;simulate store-folder dir extra,7,2,Phase 3 — Unexpected Positional Arguments,include,Direct v1.10.1 unexpected positional argument and arity-validation scope.
