inventory_id,phase,package,file_path,operation,operation_category,criticality,seam_candidate,current_status,notes
CK-1108-P1-001,Phase 1,storage,internal/storage/store.go,os.Open,read,HIGH,YES,discovered,"hash identity file open; line 83"
CK-1108-P1-002,Phase 1,storage,internal/storage/store.go,os.Stat,metadata,HIGH,YES,discovered,"reusable chunk placement validation; lines 1214,1361,2397,2646"
CK-1108-P1-003,Phase 1,storage,internal/storage/store.go,filepath.WalkDir,traversal,HIGH,YES,discovered,"restore traversal and path enumeration; line 2780"
CK-1108-P1-004,Phase 1,storage,internal/storage/context.go,os.Remove,delete,MEDIUM,NO,discovered,"best-effort temp cleanup; lines 72,174,184,193,199,206"
CK-1108-P1-005,Phase 1,storage,internal/storage/restore.go,os.Stat,metadata,CRITICAL,YES,discovered,"restore destination safety checks; lines 952,966,1349"
CK-1108-P1-006,Phase 1,storage,internal/storage/restore.go,os.MkdirAll,create,CRITICAL,YES,discovered,"restore parent directory creation; lines 956,974"
CK-1108-P1-007,Phase 1,storage,internal/storage/restore.go,os.Remove,delete,CRITICAL,YES,discovered,"restore temp cleanup on failure path; line 990"
CK-1108-P1-008,Phase 1,storage,internal/storage/restore.go,File.Sync,sync,CRITICAL,YES,discovered,"file and directory durability sync points; lines 1332,1364"
CK-1108-P1-009,Phase 1,storage,internal/storage/restore.go,os.Rename,write,CRITICAL,YES,discovered,"atomic restore commit; line 1356"
CK-1108-P1-010,Phase 1,storage,internal/storage/restore.go,os.Open,read,HIGH,YES,discovered,"directory open for parent sync; line 1360"
CK-1108-P1-011,Phase 1,container,internal/container/container.go,os.OpenFile,write,CRITICAL,YES,discovered,"container open/create paths; lines 94,96,487"
CK-1108-P1-012,Phase 1,container,internal/container/container.go,os.MkdirAll,create,HIGH,YES,discovered,"container root directory creation; line 465"
CK-1108-P1-013,Phase 1,container,internal/container/container.go,os.Remove,delete,CRITICAL,YES,discovered,"container retirement deletion; line 475"
CK-1108-P1-014,Phase 1,container,internal/container/container.go,os.Stat,metadata,HIGH,YES,discovered,"container file existence/size checks; lines 554,632"
CK-1108-P1-015,Phase 1,container,internal/container/container.go,File.Sync,sync,CRITICAL,YES,discovered,"container durability sync; lines 281,505"
CK-1108-P1-016,Phase 1,container,internal/container/container.go,File.Write,write,CRITICAL,YES,discovered,"container header/payload writes; lines 311,329"
CK-1108-P1-017,Phase 1,container,internal/container/local_writer.go,os.MkdirAll,create,HIGH,YES,discovered,"writer path preparation; lines 96,356"
CK-1108-P1-018,Phase 1,container,internal/container/local_writer.go,os.Stat,metadata,HIGH,YES,discovered,"truncate verification checks; lines 533,551"
CK-1108-P1-019,Phase 1,container,internal/container/local_writer.go,File.Sync,sync,CRITICAL,YES,discovered,"writer sync before commit/rotate; lines 178,442"
CK-1108-P1-020,Phase 1,container,internal/container/format.go,File.Write,write,HIGH,YES,discovered,"container format header write; line 107"
CK-1108-P1-021,Phase 1,recovery,internal/recovery/system_recovery.go,os.Stat,metadata,HIGH,YES,discovered,"recovery mapping and file-state checks; lines 207,297,355"
CK-1108-P1-022,Phase 1,recovery,internal/recovery/system_recovery.go,os.ReadDir,traversal,HIGH,YES,discovered,"orphan container discovery scan; line 456"
CK-1108-P1-023,Phase 1,snapshot,internal/snapshot/snapshot.go,os.Stat,metadata,MEDIUM,NO,discovered,"snapshot output conflict checks; line 1207"
CK-1108-P1-024,Phase 1,snapshot,internal/snapshot/snapshot.go,os.MkdirAll,create,MEDIUM,NO,discovered,"snapshot restore directory creation; line 1268"
CK-1108-P1-025,Phase 1,maintenance,internal/maintenance/gc.go,os.Remove,delete,CRITICAL,YES,discovered,"sealed and packed container deletion; lines 344,786"
