id,area,file_path,function_or_symbol,access_category,risk_surface,future_boundary,summary,evidence,notes
DBFS-11012-001,DB Connection,internal/db/db.go,ConnectDB(),db_schema_migration,critical,engine_boundary_candidate,Production DB connection with schema init,sql.Open("postgres"...); db.PingContext(); EnsurePostgresSchema(),Entry point for all DB operations
DBFS-11012-002,GC,internal/maintenance/gc.go,RunGCWithContainersDirResult(),db_transaction,critical,operation_contract_candidate,Advisory lock + reachability + deletion transactions,BeginTx(); ExecContext(DELETE); Commit(),Must never delete reachable data
DBFS-11012-003,GC,internal/maintenance/gc.go,MarkReachableChunks(),db_read,high,operation_contract_candidate,Marks reachable chunks from live refs,QueryContext() on chunk and logical_file tables,GC reachability set
DBFS-11012-004,GC,internal/maintenance/gc.go,LoadLivePackedBlockIDs(),db_read,high,operation_contract_candidate,Loads live packed block IDs from storage_blocks,QueryContext() on storage_blocks WHERE status NOT IN (...),Packed storage format
DBFS-11012-005,GC,internal/maintenance/gc.go,LoadLiveLegacyContainerIDs(),db_read,high,operation_contract_candidate,Loads legacy container IDs from containers table,QueryContext() on containers table,Legacy storage compat
DBFS-11012-006,Restore,internal/storage/restore.go,RestoreFileWithStorageContextResultOptions(),db_transaction,critical,operation_contract_candidate,Full restore transaction with chunk pinning,pinLogicalFileRestoreChunks() + recovery sequencing,Atomic temp+rename pattern
DBFS-11012-007,Restore,internal/storage/restore.go,pinLogicalFileRestoreChunks(),db_read,high,operation_contract_candidate,Fetches and pins restore chunks in DB,QueryContext(SELECT chunk_id WHERE logical_file_id=?),Ensures chunks stay alive during restore
DBFS-11012-008,Restore,internal/storage/restore.go,unpinRestoreChunks(),db_write,medium,operation_contract_candidate,Unpins chunks after restore completion,ExecContext(UPDATE chunk SET pin_count...),Cleanup post-restore
DBFS-11012-009,Store,internal/storage/store.go,StoreFileWithStorageContextAndCodecResultWithPolicy(),db_transaction,critical,catalog_boundary_candidate,Store pipeline: prepare + append + finalize + commit,Uses StorageContext.Writer.AppendPayload(tx...),Core write path
DBFS-11012-010,Snapshot,internal/snapshot/snapshot.go,CreateSnapshotWithOptions(),db_transaction,critical,catalog_boundary_candidate,Atomic snapshot creation from physical_file rows,BeginTx(); insertSnapshot(); insertSnapshotFiles(); Commit(),All-or-nothing semantics
