id,invariant,current_owner_type,current_owner_files,current_owner_symbols,ownership_risk,future_owner_candidate,related_operation_candidates,related_phase2_refs,related_phase3_refs,migration_rule,summary,evidence,notes
INV-11012-001,deterministic_restore,storage,"internal/storage/restore.go","restoreFileWithDBAndDir; pinLogicalFileRestoreChunksWithContext",critical,engine_operation,"OPC-11012-003; OPC-11012-004; OPC-11012-009","CLI-BC-11012-009; CLI-BC-11012-012","DBFS-11012-006; DBFS-11012-007",wrap_first,"Restore ordering and chunk sequencing must be owned by the future engine operation before CLI is thinned","Phase 4 restore candidates OPC-11012-003 and OPC-11012-004; Phase 3 restore DB access DBFS-11012-006 and DBFS-11012-007",Inventory only; no behavior change
INV-11012-002,deterministic_restore,storage,"internal/storage/restore.go","restoreFileWithDBAndDir; resolveDestination",critical,filesystem_boundary,"OPC-11012-003; OPC-11012-004","CLI-BC-11012-009; CLI-BC-11012-011","DBFS-11012-024; DBFS-11012-029",filesystem_boundary_before_move,"Restore destination path resolution (original/prefix/override modes) and stored-path replication must remain in filesystem boundary","Phase 3 DBFS-11012-024 restore destination access; DBFS-11012-029 directory sync",Inventory only; destination mode logic must not move until filesystem boundary is explicit
INV-11012-003,filesystem_failure_safety,storage,"internal/storage/restore.go; internal/container/local_writer.go","restoreFileWithDBAndDir; AppendPayload; FinalizeContainer",critical,filesystem_boundary,"OPC-11012-003; OPC-11012-001; OPC-11012-009","CLI-BC-11012-009; CLI-BC-11012-005","DBFS-11012-024; DBFS-11012-025; DBFS-11012-029; DBFS-11012-034",filesystem_boundary_before_move,"Temp-write-then-rename-then-fsync pattern for restore; fsync-before-DB-commit for store; must remain in filesystem boundary","Phase 3 critical DBFS-11012-024 (restore fsync+rename); DBFS-11012-025 (store fsync before DB commit); DBFS-11012-034 (container finalize sync+close)",Inventory only; write durability chain must be preserved
INV-11012-004,deterministic_restore,storage,"internal/storage/restore.go","restoreFileWithDBAndDir; sanitizeStoredPath",critical,filesystem_boundary,"OPC-11012-003; OPC-11012-004; OPC-11012-009","CLI-BC-11012-009","DBFS-11012-024",filesystem_boundary_before_move,"Path traversal rejection for restore destination must remain in filesystem boundary; must never allow restoring to paths outside intended destination","Phase 3 DBFS-11012-024 restore destination access; traversal-rejection logic",Inventory only; security-critical invariant; must not move until filesystem boundary is explicit
INV-11012-005,gc_safety,gc,"internal/maintenance/gc.go","RunGCWithContainersDirResult; MarkReachableChunks; LoadLivePackedBlockIDs; LoadLiveLegacyContainerIDs",critical,engine_operation,"OPC-11012-011; OPC-11012-012","CLI-BC-11012-016","DBFS-11012-002; DBFS-11012-003; DBFS-11012-004; DBFS-11012-005",wrap_first,"GC reachability check covers chunks, packed blocks, and legacy containers; wrong ownership can cause permanent data loss","Phase 3 critical DBFS-11012-002 (GC tx); DBFS-11012-003 (reachable chunks); DBFS-11012-004 (packed block IDs); DBFS-11012-005 (legacy container IDs)",Inventory only; GC must never delete reachable data
INV-11012-006,gc_safety,gc,"internal/maintenance/gc.go","RunGCWithContainersDirResult; dryRun flag branch",critical,engine_operation,"OPC-11012-011; OPC-11012-012","CLI-BC-11012-016","DBFS-11012-002; DBFS-11012-003",preserve_current_ordering,"Dry-run and live-run must compute identical reachability sets; any divergence is a correctness bug not a reporting difference","Phase 4 OPC-11012-011 error boundary notes: dry-run result must match live-run would-delete set exactly",Inventory only; equivalence is enforced by single reachability path shared by both modes
INV-11012-007,gc_safety,gc,"internal/maintenance/gc.go","RunGCWithContainersDirResult; per-container tx loop",critical,filesystem_boundary,"OPC-11012-012","CLI-BC-11012-016","DBFS-11012-026; DBFS-11012-035",filesystem_boundary_before_move,"File deletion must occur only after DB row is committed; crash between commit and file removal leaves unlinked dead container, not data loss","Phase 3 critical DBFS-11012-026 (GC file delete); DBFS-11012-035 (per-container tx scope: commit then remove file)",Inventory only; commit-then-delete ordering is safety invariant
INV-11012-008,snapshot_immutability,snapshot,"internal/snapshot/snapshot.go","CreateSnapshotWithOptions; insertSnapshot; insertSnapshotFiles",critical,catalog_contract,"OPC-11012-005","CLI-BC-11012-030","DBFS-11012-010; DBFS-11012-036",catalog_before_engine_split,"Snapshot creation must be all-or-nothing in a single BeginTx/Commit; partial snapshot rows must never exist in the catalog","Phase 3 critical DBFS-11012-010 (snapshot create tx); DBFS-11012-036 (single BeginTx/Commit scope)",Inventory only; no partial snapshot state acceptable
INV-11012-009,snapshot_immutability,snapshot,"internal/snapshot/snapshot.go","DeleteSnapshot",high,catalog_contract,"OPC-11012-008","CLI-BC-11012-034","DBFS-11012-011",catalog_before_engine_split,"Deleting a snapshot removes only metadata rows; underlying logical files and physical data are unaffected","Phase 3 DBFS-11012-011 (metadata-only delete); Phase 4 OPC-11012-008 error boundary notes",Inventory only; physical data not affected by snapshot delete
INV-11012-010,deterministic_restore,snapshot,"internal/snapshot/snapshot.go; internal/storage/restore.go","RestoreSnapshot; RestoreFileWithStorageContextResultOptions",critical,engine_operation,"OPC-11012-009","CLI-BC-11012-036","DBFS-11012-015; DBFS-11012-006; DBFS-11012-024",wrap_first,"Snapshot restore must apply the same deterministic_restore invariants as single-file restore for every file in the snapshot batch","Phase 4 OPC-11012-009 error boundary: must apply same deterministic_restore invariants; DBFS-11012-015 (RestoreSnapshot DB access)",Inventory only; snapshot restore delegates to file restore path
