id,type,status,severity,domain,summary,carried_to,rationale,evidence
KI-11011-001,accepted_risk,accepted,S1,dependencies,"Go toolchain CVE baseline accepted; go 1.25 toolchain go1.25.10 actively maintained; no individual CVE confirmed to affect coldkeep-specific code paths",v1.10.12,"Accepted for v1.10.11; toolchain upgrade tracked for v1.10.12+","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-009)"
KI-11011-002,accepted_risk,accepted,S1,benchmark,"exec.Command in benchmark tooling accepted; spec.Executable sourced from configuration-time values not untrusted user input; benchmark is not a production data path",none,"Code review confirmed no route from untrusted input to spec.Executable; does not affect stored data integrity","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-014)"
KI-11011-003,suppressed_finding,suppressed,S1,security,"3 dynamic SQL scanner findings suppressed as false positives after code review: fmt.Sprintf used for positional placeholders and compile-time schema constants only",none,"All 3 sub-findings confirmed false positives; parameterized queries confirmed for user data; PRAGMA table_info uses compile-time constants only","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-010)"
KI-11011-004,deferred_risk,deferred,S1,migration,"37 scanner findings in migration domain requiring individual code review; no v1.10.11 migration changes planned",v1.10.12,"Broad refactor out of scope for v1.10.11 stabilization","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-001)"
KI-11011-005,deferred_risk,deferred,S1,snapshot,"5 scanner findings in snapshot domain; no snapshot changes planned for v1.10.11",v1.10.12,"Backlog item with no closure evidence in v1.10.1-v1.10.10","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-002)"
KI-11011-006,deferred_risk,deferred,S1,snapshot,"2 filesystem permission findings in snapshot domain; no snapshot changes planned for v1.10.11",v1.10.12,"Backlog item with no closure evidence in v1.10.1-v1.10.10","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-003)"
KI-11011-007,deferred_risk,deferred,S1,storage,"11 scanner findings in storage domain; broad storage refactor out of scope for v1.10.11",v1.10.12,"Backlog item with no closure evidence in v1.10.1-v1.10.10","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-004)"
KI-11011-008,deferred_risk,deferred,S1,storage,"3 dynamic filesystem path scanner findings in storage domain",v1.10.12,"Backlog item with no closure evidence in v1.10.1-v1.10.10","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-005)"
KI-11011-009,deferred_risk,deferred,S1,storage,"12 filesystem permission scanner findings in storage domain",v1.10.12,"Backlog item with no closure evidence in v1.10.1-v1.10.10","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-006)"
KI-11011-010,deferred_risk,deferred,S1,storage,"1 randomness scanner finding in storage domain; math/rand vs crypto/rand boundary not individually reviewed",v1.10.12,"Backlog item; boundary review deferred to next stabilization cycle","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-007)"
KI-11011-011,deferred_risk,deferred,S1,recovery,"system_recovery.go complexity hotspot; quarantineOrphanContainers CCN=16; broad complexity refactoring out of scope for v1.10.11",v1.10.12,"Broad refactor explicitly out of scope per project policy; recovery correctness invariant tested separately","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-011)"
KI-11011-012,deferred_risk,deferred,S1,restore,"restore.go 976 non-comment lines; restoreFileWithDBAndDir CCN=70; broad refactoring into smaller phases required",v1.10.12,"Broad refactor out of scope for v1.10.11; M038 remains open beyond v1.10.5","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-012)"
KI-11011-013,deferred_risk,deferred,S1,restore,"Mode-specific flag cross-contamination in restore mode validation logic; production code changes required",v1.11,"Requires production code changes to restore mode validation; out of scope for v1.10.11 stabilization","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-013)"
KI-11011-014,deferred_risk,deferred,S1,ci,"DB_SSLMODE propagation risk in CI scripts; CI reliability concern not affecting production data invariants",v1.10.12,"CI script improvement out of scope for v1.10.11 stabilization","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-015)"
KI-11011-015,deferred_risk,deferred,S1,tooling,"28 scanner findings across release and benchmark scripts; script robustness improvement out of scope for v1.10.11",v1.10.12,"Findings do not affect production data paths; out of scope for stabilization","docs/release/v1.10/v1.10.11-risk-disposition-audit.csv (CK-11011-S1-016)"
KI-11011-016,ci_pending_evidence,pending_phase9,none,ci,"v1.10.11 PR CI evidence pending; no PR opened yet; gh run list returned empty for feature branch",phase9,"Feature branch does not trigger CI on push; remote CI collected when PR opened in Phase 9","docs/release/v1.10/v1.10.11-flaky-ci-stability-audit.csv (FCI-11011-003)"
KI-11011-017,ci_pending_evidence,pending_phase9,none,ci,"Cross-platform OS matrix CI evidence pending; ubuntu-latest macos-latest windows-latest not yet run for v1.10.11",phase9,"cross-platform job runs on PR against main; pending Phase 9","docs/release/v1.10/v1.10.11-flaky-ci-stability-audit.csv (FCI-11011-004)"
KI-11011-018,ci_pending_evidence,pending_phase9,none,ci,"PostgreSQL integration correctness-matrix CI evidence pending; full PostgreSQL plain+aes-gcm integration test coverage not yet run for v1.10.11",phase9,"correctness-matrix job requires PostgreSQL service; pending Phase 9 PR CI","docs/release/v1.10/v1.10.11-flaky-ci-stability-audit.csv (FCI-11011-009)"
