matrix_id,title,source_status,source_severity,domain,decision,phase_owner,reason,expected_behavior,notes
CK-110-M015,Review dynamic filesystem path scanner findings,triaged,S1,restore,include,Phase 6,v1.10.5 targets restore/recovery safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Restore path construction and normalization must reject unsafe or ambiguous filesystem paths before any write/restore side effects occur.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M016,Filesystem permission scanner findings must be reviewed by runtime area and threat model,triaged,S1,restore,include,Phase 6,v1.10.5 targets restore/recovery safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Restore runtime path and file operations must preserve least-privilege permission boundaries and avoid unsafe permission escalation patterns.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M017,Restore mode value flags must reject empty values before fallback behavior,triaged,S1,restore,include,Phase 3,v1.10.5 targets restore/recovery safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Restore/remove mode and stored-path flags must fail closed on empty or whitespace-only values instead of silently changing mode semantics.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M037,Review production complexity hotspots,triaged,S1,recovery,include,Phase 8,v1.10.5 targets recovery safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Recovery flows must remain deterministic and auditable with explicit validation coverage for critical complexity hotspots.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M038,Review production complexity hotspots,triaged,S1,restore,include,Phase 8,v1.10.5 targets restore safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Restore critical-path logic must preserve fail-closed semantics and deterministic outcomes under malformed, missing, or inconsistent state.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M087,Reject restore mode-specific flags outside valid mode,triaged,S1,restore,include,Phase 8,v1.10.5 targets restore safety and this row is explicitly targeted to v1.10.5 in known-s0-s1.,Mode-specific restore flags must be rejected when mode prerequisites are not satisfied and must not be silently ignored.,Phase 0 seed row for v1.10.5 control-plane tracking.
CK-110-M064,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,recovery,defer,Phase 9,Known-s0-s1 tracks this row in v1.10.5 as moderate risk; defer from immediate implementation to avoid mixing critical safety fixes with non-critical test-structure cleanup.,Recovery invariant tests remain authoritative and must not lose behavioral coverage while complexity cleanup is deferred.,Phase 0 defer decision for scoped stabilization.
CK-110-M065,Classify test-only scanner findings,triaged,S3,recovery,defer,Phase 9,Known-s0-s1 tracks this row in v1.10.5 as moderate risk; defer from immediate implementation to prioritize critical S1 restore/recovery closure.,Test-only scanner findings must be classified without changing production behavior or masking correctness gaps.,Phase 0 defer decision for scoped stabilization.
CK-110-M066,Test complexity findings must be reviewed without weakening invariant coverage,triaged,S3,restore,defer,Phase 9,Known-s0-s1 tracks this row in v1.10.5 as moderate risk; defer from immediate implementation to prioritize critical S1 restore/recovery closure.,Restore invariant tests remain authoritative and must not lose behavioral coverage while complexity cleanup is deferred.,Phase 0 defer decision for scoped stabilization.
CK-110-M067,Classify test-only scanner findings,triaged,S3,restore,defer,Phase 9,Known-s0-s1 tracks this row in v1.10.5 as moderate risk; defer from immediate implementation to prioritize critical S1 restore/recovery closure.,Test-only restore scanner findings must be classified with explicit rationale and without masking true correctness/security issues.,Phase 0 defer decision for scoped stabilization.
