id,check_name,transition_category,priority,v111_entry_gate,blocking_level,source_phase,source_ref,applies_to,readiness_status,check_statement,required_evidence,v111_owner_candidate,notes
CHK-11012-001,v111_first_phase_is_facade_wrap_only,behavior_preservation,P0,must_before_first_facade_commit,release_blocker,phase4,"OPC-11012-001; OPC-11012-003; OPC-11012-005; OPC-11012-011; OPC-11012-013",all_engine_candidates,requires_v111_validation,"The first v1.11 implementation phase must wrap existing implementations; no business logic may be moved; no behavior may change","v1.11 first PR diff shows only wrapper functions delegating to existing code; tests pass without modification; CLI behavior unchanged",engine_operation,Phase 4 migration_mode=wrap_existing_behavior for all P0/P1 operations
CHK-11012-002,preserve_store_restore_gc_verify_snapshot_behavior,behavior_preservation,P0,must_before_lifting_logic,release_blocker,phase4,"OPC-11012-001; OPC-11012-003; OPC-11012-005; OPC-11012-011; OPC-11012-013",all_engine_candidates,requires_v111_validation,"Store restore GC verify snapshot behavior must be preserved byte-for-byte in v1.11 facade; any behavioral difference is a regression","Before/after integration test suite passes with identical output on store/restore/GC/verify/snapshot; diff of results shows no behavioral change",engine_operation,Phase 5 critical invariants INV-11012-001 INV-11012-005 INV-11012-008 INV-11012-011 INV-11012-014
CHK-11012-003,preserve_dedup_and_packed_legacy_parity,behavior_preservation,P0,must_before_first_facade_commit,release_blocker,phase5,"INV-11012-013; INV-11012-015",store,requires_v111_validation,"Packed and legacy storage formats must be treated equivalently in v1.11 facade; dedup behavior must not drift; verify must cover both formats","v1.11 verify passes on repos with both packed and legacy containers; GC reachability covers both; dedup results are identical to v1.10.12",engine_operation,Phase 5 INV-11012-013 packed/legacy parity
CHK-11012-004,preserve_recovery_sequencing_before_db_write,behavior_preservation,P0,must_before_first_facade_commit,release_blocker,phase5,"INV-11012-017; INV-11012-018",recovery,requires_v111_validation,"Recovery gate must always run before any DB write in v1.11; OpenLocalStorage enforces this sequencing; v1.11 facade must not bypass or reorder this gate","v1.11 OpenLocalStorage or equivalent preserves recovery-then-connect ordering; crash test scenarios confirm quarantine-before-write invariant",storage_context,Phase 5 INV-11012-017 INV-11012-018 crash_recovery
CHK-11012-005,preserve_simulation_no_mutation_invariant,behavior_preservation,P1,must_before_first_facade_commit,phase_blocker,phase5,INV-11012-030,simulation,requires_v111_validation,"Simulation mode must not write persistent state or acquire advisory locks in v1.11; ParseStorageContext(simulated) must remain the gate","v1.11 simulation path does not touch production DB; no advisory lock acquired; ParseStorageContext simulated flag preserved",storage_context,Phase 5 INV-11012-030 simulate no-mutation
CHK-11012-006,store_file_operation_contract_documented,operation_contract,P0,must_before_first_facade_commit,phase_blocker,phase4,"OPC-11012-001; OPC-11012-002",store,ready,"Phase 4 store operation contract candidates must be reviewed before any store facade is created","Phase 4 OPC-11012-001 OPC-11012-002 reviewed; request/result boundary notes recorded; migration_mode=wrap_existing_behavior confirmed",engine_operation,"Phase 4 complete; reviewed as part of Phase 8"
CHK-11012-007,restore_operation_contract_documented,operation_contract,P0,must_before_first_facade_commit,phase_blocker,phase4,"OPC-11012-003; OPC-11012-004; OPC-11012-009",restore,ready,"Phase 4 restore operation contract candidates must be reviewed before any restore facade is created","Phase 4 OPC-11012-003 OPC-11012-004 OPC-11012-009 reviewed; deterministic_restore invariant constraints recorded",engine_operation,"Phase 4 complete; reviewed as part of Phase 8"
CHK-11012-008,gc_operation_contract_documented,operation_contract,P0,must_before_first_facade_commit,phase_blocker,phase4,"OPC-11012-011; OPC-11012-012",gc,ready,"Phase 4 GC operation contract candidates must be reviewed; GC safety invariants must be captured in the facade contract","Phase 4 OPC-11012-011 OPC-11012-012 reviewed; gc_safety invariant (GC must never delete reachable data) confirmed as engine_operation constraint",engine_operation,"Phase 4 complete; reviewed as part of Phase 8"
CHK-11012-009,verify_operation_contract_documented,operation_contract,P0,must_before_first_facade_commit,phase_blocker,phase4,"OPC-11012-013; OPC-11012-014",verify,ready,"Phase 4 verify operation contract candidates must be reviewed; fail-closed invariant must be captured in the facade contract","Phase 4 OPC-11012-013 OPC-11012-014 reviewed; verify fail-closed invariant (exit code 3; all errors reported) confirmed",engine_operation,"Phase 4 complete; reviewed as part of Phase 8"
CHK-11012-010,snapshot_catalog_contract_documented,operation_contract,P0,must_before_catalog_work,phase_blocker,phase4,"OPC-11012-005; OPC-11012-008",snapshot,ready,"Phase 4 snapshot operation contract candidates must be reviewed before any catalog facade for snapshot is created","Phase 4 OPC-11012-005 OPC-11012-008 reviewed; all-or-nothing transaction invariant and metadata-only-delete invariant confirmed",catalog_contract,"Phase 4 complete; reviewed as part of Phase 8"
