id,severity,domain,source,disposition,disposition_rationale,evidence,deferred_target
CK-11011-S1-001,S1,migration,CK-110-M001,deferred,"37 scanner findings requiring individual code review; no v1.10.11 migration changes planned; backlog item with no closure evidence in v1.10.1–v1.10.10; broad refactor out of scope","docs/release/v1.10/remediation-matrix.csv (CK-110-M001 status=triaged)",backlog
CK-11011-S1-002,S1,snapshot,CK-110-M002,deferred,"5 scanner findings in snapshot domain; backlog item with no closure evidence in v1.10.1–v1.10.10; no snapshot changes planned for v1.10.11","docs/release/v1.10/remediation-matrix.csv (CK-110-M002 status=triaged)",backlog
CK-11011-S1-003,S1,snapshot,CK-110-M003,deferred,"2 filesystem permission findings in snapshot domain; backlog item with no closure evidence in v1.10.1–v1.10.10; no snapshot changes planned for v1.10.11","docs/release/v1.10/remediation-matrix.csv (CK-110-M003 status=triaged)",backlog
CK-11011-S1-004,S1,storage,CK-110-M004,deferred,"11 scanner findings in storage domain; backlog item with no closure evidence in v1.10.1–v1.10.10; broad storage refactor out of scope for v1.10.11","docs/release/v1.10/remediation-matrix.csv (CK-110-M004 status=triaged)",backlog
CK-11011-S1-005,S1,storage,CK-110-M005,deferred,"3 dynamic filesystem path scanner findings in storage domain; backlog item with no closure evidence in v1.10.1–v1.10.10","docs/release/v1.10/remediation-matrix.csv (CK-110-M005 status=triaged)",backlog
CK-11011-S1-006,S1,storage,CK-110-M006,deferred,"12 filesystem permission scanner findings in storage domain; backlog item with no closure evidence in v1.10.1–v1.10.10","docs/release/v1.10/remediation-matrix.csv (CK-110-M006 status=triaged)",backlog
CK-11011-S1-007,S1,storage,CK-110-M007,deferred,"1 randomness scanner finding in storage domain; math/rand vs crypto/rand boundary not individually reviewed; backlog item","docs/release/v1.10/remediation-matrix.csv (CK-110-M007 status=triaged)",backlog
CK-11011-S1-008,S1,json,CK-110-M008,fixed,"remediation-matrix.csv explicitly records status=fixed for CK-110-M008; v1.10.1 commit 2b1a514 delivers the JSON shorthand and machine output contract hardening; Phase 2 flagged this needs_review pending matrix confirmation which is now confirmed fixed","docs/release/v1.10/remediation-matrix.csv (CK-110-M008 status=fixed); commit 2b1a514",n/a
CK-11011-S1-009,S1,dependencies,CK-110-M009,accepted,"go.mod specifies go 1.25 with toolchain go1.25.10 which is an actively maintained toolchain release; no individual CVE within the 46-finding M009 scanner grouping has been confirmed to affect coldkeep-specific code paths; maintained toolchain version represents the appropriate mitigation posture for scanner-sourced vulnerability groupings","go.mod (go 1.25; toolchain go1.25.10); docs/release/v1.10/issue-tracker.csv (CK-110-0012 — go stdlib medium; CK-110-0058 — CVE-2026-27139 both triaged)",v1.10.12+
CK-11011-S1-010,S1,security,CK-110-M012,suppressed,"All 3 source findings confirmed scanner false positives after code review: CK-110-0013 and CK-110-0040 flag fmt.Sprintf used only to construct positional $N placeholder strings (e.g. fmt.Sprintf($%d) for i+1) which are correct parameterization — the values are positional integers not user data and the query is executed with s.db.QueryContext(ctx query args...) with bound args; CK-110-0014 flags PRAGMA table_info(%s) where tableName is sourced exclusively from compile-time application schema constants (callers pass hardcoded values blocks storage_blocks chunk_block_refs) not user input — PRAGMA in SQLite does not accept parameterized identifiers so fmt.Sprintf is the only valid approach for this read-only schema introspection","internal/observability/stats.go (lines 355–365 and 410–430 — parameterized queries with bound args confirmed); internal/repository/capabilities/derive.go (line 348 — tableName = compile-time constant from application schema)",n/a
CK-11011-S1-011,S1,recovery,CK-110-M037,deferred,"system_recovery.go complexity hotspot (quarantineOrphanContainers CCN=16; quarantineCorruptActiveContainerTails 99 lines) requires broad complexity refactoring; broad refactors are explicitly out of scope for v1.10.11 stabilization per project policy; recovery correctness invariant is tested separately","docs/release/v1.10/remediation-matrix.csv (CK-110-M037 status=triaged)",backlog
CK-11011-S1-012,S1,restore,CK-110-M038,deferred,"restore.go 976 non-comment lines and restoreFileWithDBAndDir cyclomatic complexity 70 requires broad refactoring into smaller phases; broad refactors are out of scope for v1.10.11; v1.10.5 closure report confirms M038 remains open beyond v1.10.5","docs/release/v1.10/remediation-matrix.csv (CK-110-M038 status=triaged); docs/release/v1.10/v1.10.5-closure-report.md",backlog
CK-11011-S1-013,S1,restore,CK-110-M087,deferred,"Mode-specific flag cross-contamination (CK-110-1500 and CK-110-1501) is a real restore hardening concern that requires production code changes to restore mode validation logic; code changes are out of scope for v1.10.11 stabilization; tracked in remediation-matrix.csv as open","docs/release/v1.10/remediation-matrix.csv (CK-110-M087 status=triaged); docs/release/v1.10/issue-tracker.csv (CK-110-1500; CK-110-1501)",post-v1.10.11
CK-11011-S1-014,S1,benchmark,CK-110-M018,accepted,"exec.Command(spec.Executable spec.Args...) in defaultCommandRunner() (internal/benchmark/scenarios.go line 441); spec.Executable is sourced from ScenarioConfig.ColdkeepExecutable which falls back to the hardcoded literal coldkeep via withDefaults() when empty; callers supply configuration-time values not untrusted user CLI input at runtime; the benchmark package is not a production data path and cannot affect stored data integrity","internal/benchmark/scenarios.go (line 441 defaultCommandRunner; withDefaults() fallback to hardcoded coldkeep literal)",n/a
CK-11011-S1-015,S1,ci,CK-110-M043,deferred,"DB_SSLMODE propagation risk in run_snapshot_release_gate.sh is a CI reliability concern; it does not directly affect production data invariants or stored data correctness; CI script tooling improvement is out of scope for v1.10.11 stabilization","docs/release/v1.10/remediation-matrix.csv (CK-110-M043 status=triaged); docs/release/v1.10/issue-tracker.csv (CK-110-1483; CK-110-1659)",backlog
CK-11011-S1-016,S1,tooling,CK-110-M045,deferred,"28 scanner findings across release and benchmark scripts (scripts/smoke.sh; scripts/validate_regression_thresholds.py and others); script robustness improvement is out of scope for v1.10.11 stabilization; findings do not affect production data paths","docs/release/v1.10/remediation-matrix.csv (CK-110-M045 status=triaged)",backlog
