id,command_or_area,file_path,function_or_symbol,coupling_category,severity,future_disposition,summary,evidence,notes
CLI-BC-11012-001,init,cmd/coldkeep/init.go,initCommand,validation_policy,medium,engine_candidate,"Encryption key generation and .env file creation with permission checks","blocks.GenerateKeyHex() + os.WriteFile(.env 0600) + compression codec validation (lines 14-97)","Inventory only; no behavior change"
CLI-BC-11012-002,init,cmd/coldkeep/init.go,isRunningInContainer,filesystem_access,low,keep_in_cli,"Detects if running in Docker via /.dockerenv stat","os.Stat(/.dockerenv) line 100","Pure environment detection; keep in CLI"
CLI-BC-11012-003,config get/set,cmd/coldkeep/main.go,runConfigCommand,cross_package_coordination,high,needs_phase5_invariant_mapping,"Loads storage context; opens repository; gets/sets compression and chunker defaults via DB","storage.LoadDefaultStorageContext() + storage.NewRepository(sgctx.DB) + repo.GetDefaultCompression() + repo.SetDefaultCompression() (lines 886-1101)","Storage context bootstrap tightly coupled with repo operations"
CLI-BC-11012-004,config get/set,cmd/coldkeep/main.go,validateConfigDefaultChunkerVersion,validation_policy,high,engine_candidate,"Validates that requested chunker version exists and is not deprecated","chunk.DefaultRegistry().Get() + isDeprecatedChunkerVersionPhase hook (lines 862-880)","Domain business rule enforced directly in CLI"
CLI-BC-11012-005,store,cmd/coldkeep/main.go,runStoreCommand,business_orchestration,critical,engine_contract_candidate,"Orchestrates storage context bootstrap; codec parsing; file store; container finalization; perf measurement","storage.LoadDefaultStorageContext() + blocks.ParseCodec() + storage.StoreFileWithStorageContextResult() + sgctx.Writer.FinalizeContainer() + perf.Mark() (lines 1301-1361)","Core store pipeline lives in CLI; perf timing tightly integrated"
CLI-BC-11012-006,store,cmd/coldkeep/main.go,loadDefaultStorageContextPhase,storage_context_construction,high,needs_phase5_invariant_mapping,"Storage context loads DB and manages lifecycle via defer sgctx.Close()","loadDefaultStorageContextPhase() + defer sgctx.Close() (line 1315)","CLI owns DB lifecycle management per command"
CLI-BC-11012-007,store-folder,cmd/coldkeep/main.go,runStoreFolderCommand,business_orchestration,medium,engine_candidate,"Parses execution options from environment; loads storage context; calls store-folder with codec and options","execution.FromEnv() + storage.LoadDefaultStorageContext() + storage.StoreFolderWithStorageContextAndOptions() (lines 1373-1427)","Execution policy parsed from environment by CLI"
CLI-BC-11012-008,store-folder,cmd/coldkeep/main.go,runStoreFolderCommand (workers validation),validation_policy,medium,keep_in_cli,"Parses and validates --workers flag; must be positive integer","strconv.Atoi() + workers <= 0 check (lines 1387-1392)","CLI-level execution parameter validation"
CLI-BC-11012-009,restore,cmd/coldkeep/main.go,runRestoreCommand,business_orchestration,critical,engine_contract_candidate,"Batch orchestration: raw to prepared targets; storage context load; restore execution real or dry-run; output dir creation","batch.LoadRawTargets() + batch.PrepareTargets() + ensureRestoreOutputDir() + executeRestoreItem() + batch.ExecutePrepared() (lines 1435-1577)","Batch pipeline plus filesystem plus storage coordination"
CLI-BC-11012-010,restore,cmd/coldkeep/main.go,ensureRestoreOutputDir,filesystem_access,high,needs_phase3_db_fs_review,"Creates output directory with os.MkdirAll; validates is-dir; enforces directory-only restore destination","os.MkdirAll(path 0755) + os.Stat() + st.IsDir() check (lines 1757-1782)","Core restore output safety invariant enforced in CLI"
CLI-BC-11012-011,restore,cmd/coldkeep/main.go,parseRestoreDestinationMode,validation_policy,medium,keep_in_cli,"Parses --mode flag into RestoreDestinationMode enum: original / prefix / override","strings.ToLower() + switch case (lines 1583-1595)","CLI-level restore mode routing"
CLI-BC-11012-012,restore,cmd/coldkeep/main.go,executeRestoreItem,business_orchestration,high,engine_contract_candidate,"Calls storage.RestoreFileWithStorageContextResultOptions(); maps errors to batch result with invariant code","storage.RestoreFileWithStorageContextResultOptions() + annotateBatchFailureFromError() + batch.ItemResult construction (lines 1860-1874)","Error classification and batch result mapping"
CLI-BC-11012-013,remove,cmd/coldkeep/main.go,runRemoveCommand,business_orchestration,critical,engine_contract_candidate,"Three modes: single --stored-path; batch --stored-paths; batch fileID. Batch orchestration via batch.ExecutePrepared()","batch.LoadRawTargets() + prepareRemoveStoredPathTargets() + executeRemoveStoredPathPrepared() + batch.ExecutePrepared() (lines 1601-1722)","Complex mode dispatch and batch pipeline"
CLI-BC-11012-014,remove,cmd/coldkeep/main.go,executeRemoveStoredPathDryRunItem,direct_db_access,high,needs_phase3_db_fs_review,"Queries physical_file table via QueryRow() to check stored-path exists for dry-run validation","dbconn.QueryRow(SELECT logical_file_id FROM physical_file WHERE path = $1) (lines 2005-2018)","Dry-run validation via direct SQL in CLI"
CLI-BC-11012-015,repair,cmd/coldkeep/main.go,runRepairCommand,business_orchestration,medium,engine_candidate,"Dispatches repair targets to maintenance phase functions for ref-count or chunk-live-ref-count repair","repairLogicalRefCountsPhase() + repairChunkLiveRefCountsPhase() + executeRepairPrepared() batch mode (lines 2335-2482)","Maintenance phase orchestration"
CLI-BC-11012-016,gc,cmd/coldkeep/main.go,runGCCommand,business_orchestration,high,engine_contract_candidate,"Calls maintenance.RunGCWithContainersDirResult() with dryRun flag; handles result output","runGCPhase(dryRun container.ContainersDir) dispatches to maintenance package (lines 2144-2228)","GC orchestration; containers directory reference held in CLI"
CLI-BC-11012-017,stats,cmd/coldkeep/main.go,runStatsCommand,cross_package_coordination,high,needs_phase5_invariant_mapping,"Resolves trace options; calls observability stats phase which loads storage context; renders via clirender.Renderer","resolveTraceOptions() + runObservabilityStatsPhase() + resolveRenderer(outputMode) (lines 2229-2254)","Observability service bootstrap and render dispatch"
CLI-BC-11012-018,inspect,cmd/coldkeep/main.go,runInspectCommand,cross_package_coordination,high,needs_phase5_invariant_mapping,"Entity type routing: repository / file / chunk / container / snapshot; calls observability inspect phase; renders output","validEntities map + runObservabilityInspectPhase() + resolveRenderer() (lines 2255-2333)","Observability entity dispatch"
CLI-BC-11012-019,list,cmd/coldkeep/main.go,runListCommand,direct_db_access,high,needs_phase3_db_fs_review,"Opens DB connection directly; calls listing.ListFilesResultWithDB(); defers connection close","db.ConnectDB() + listing.ListFilesResultWithDB() + defer dbconn.Close() (lines 2558-2593)","CLI layer direct DB management without storage context abstraction"
CLI-BC-11012-020,search,cmd/coldkeep/main.go,runSearchCommand,direct_db_access,high,needs_phase3_db_fs_review,"Opens DB directly; validates numeric flags at CLI level; calls listing.SearchFilesResultWithDB()","db.ConnectDB() + validateNonNegativeIntegerFlag() loop + listing.SearchFilesResultWithDB() (lines 2603-2659)","Search filter validation enforced in CLI before DB call"
CLI-BC-11012-021,verify,cmd/coldkeep/main.go,runVerifyCommand,business_orchestration,critical,engine_contract_candidate,"Calls maintenance.VerifyCommandWithContainersDir() for read-only verify; collects summary counts via collectVerifyOutputSummary()","maintenance.VerifyCommandWithContainersDir(container.ContainersDir ...) + collectVerifyOutputSummary() SQL count query (lines 2669-2750)","Verify phase dispatch; local SQL count query in CLI"
CLI-BC-11012-022,verify,cmd/coldkeep/main.go,collectVerifyOutputSummary,direct_db_access,high,needs_phase3_db_fs_review,"Queries storage_blocks and legacy blocks tables; counts hash types via direct SQL","db.ConnectDB() + dbconn.QueryRow(SELECT COUNT(*) ...) complex join queries for blocks/hash summary (lines 779-834)","Detailed SQL logic for verify output summary lives in CLI"
CLI-BC-11012-023,doctor,cmd/coldkeep/main.go,runDoctorCommand,business_orchestration,critical,needs_phase5_invariant_mapping,"Orchestrates recovery then schema then verify phases in sequence; short-circuits on error; frozen v1.0 JSON contract with recovery counters","doctorRecoveryPhase() + doctorSchemaVersionPhase() + doctorVerifyPhase() + doctorSystemAuditPhase() (lines 2779-2910)","Critical health gate; phase sequencing enforced in CLI; recovery counters in frozen JSON schema"
CLI-BC-11012-024,doctor,cmd/coldkeep/main.go,formatDoctorTextReport,output_rendering,medium,keep_in_cli,"Formats doctor report as human-readable text with recovery and verify and schema phase details","strings.Builder formatting of recovery.Report audit summary fields (lines 2915-2963)","Text rendering for doctor output; keep in CLI"
CLI-BC-11012-025,benchmark chunkers,cmd/coldkeep/main.go,runBenchmarkChunkersCommand,business_orchestration,medium,engine_candidate,"Calls runChunkerBenchmarkPhase() to benchmark chunker determinism on synthetic datasets","runChunkerBenchmarkPhase() + deterministic output payload (lines 3047-3091)","Chunker benchmark orchestration"
CLI-BC-11012-026,benchmark run,cmd/coldkeep/main.go,runBenchmarkRunCommand,business_orchestration,critical,needs_phase4_operation_contract,"Parses --dataset --repeat --workers --compare flags; calls runCoreBenchmarkPhase() in temporary database; compares vs baseline JSON","corebenchmark.ParseDatasetPreset() + execution.FromEnv() + runCoreBenchmarkPhase() + compareWithBaseline() file I/O (lines 3093-3180)","Complex benchmark orchestration with baseline comparison"
CLI-BC-11012-027,benchmark run,cmd/coldkeep/main.go,createTemporaryBenchmarkDatabase,direct_db_access,critical,needs_phase3_db_fs_review,"Direct PostgreSQL admin connection; CREATE DATABASE and DROP DATABASE cleanup via ExecContext()","adminDB.ExecContext() for database lifecycle management (lines 3577-3606)","CLI-level database administration; dangerous coupling"
CLI-BC-11012-028,benchmark run,cmd/coldkeep/main.go,runRestoreDeterminismCheck,business_orchestration,high,needs_phase4_operation_contract,"Invokes coldkeep binary via subprocess for store/restore determinism validation; writes .bin file; manages temp dir","os.MkdirTemp() + corebenchmark.WriteDeterministicFile() + runSubprocess() store restore + corebenchmark.HashRestoredTree() (lines 3421-3473)","Subprocess orchestration with temp file management"
CLI-BC-11012-029,simulate,cmd/coldkeep/main.go,runSimulateCommand,cross_package_coordination,high,needs_phase5_invariant_mapping,"Parses subcommand store or gc; simulates in-memory storage; renders via clirender","storage.ParseStorageContext(simulated) + runObservabilitySimulateGCPhase() + resolveRenderer() RenderGCSim (lines 3803-3925)","Simulation mode dispatch"
CLI-BC-11012-030,snapshot create,cmd/coldkeep/main.go,runSnapshotCreateCommand,business_orchestration,high,engine_contract_candidate,"Generates snapshot ID from random 8-byte hex; parses --from parent; calls snapshot.CreateSnapshotWithOptions(); counts files inserted","generateSnapshotID() + storage.LoadDefaultStorageContext() + createSnapshotPhase() + sgctx.DB.QueryRowContext() count snapshot_file (lines 4950-5065)","Snapshot creation orchestration with ID generation and file count validation"
CLI-BC-11012-031,snapshot list,cmd/coldkeep/main.go,runSnapshotListCommand,business_orchestration,high,engine_contract_candidate,"Parses filters --type --label --since --until --limit --tree; calls snapshot.ListSnapshots(); renders tree or table","snapshot.SnapshotListFilter construction + listSnapshotsPhase() + renderSnapshotTreeLines() + clirender.RenderSnapshotListHuman() (lines 4363-4419)","Snapshot list orchestration with lineage rendering"
CLI-BC-11012-032,snapshot show,cmd/coldkeep/main.go,runSnapshotShowCommand,business_orchestration,high,engine_contract_candidate,"Parses snapshot query flags; calls GetSnapshot then ListSnapshotFiles then GetSnapshotStats then renders","parseSnapshotQuery() + getSnapshotPhase() + listSnapshotFilesPhase() + snapshotStatsPhase() + clirender.RenderSnapshotShowHuman() (lines 4461-4537)","Snapshot show with complex query filtering"
CLI-BC-11012-033,snapshot stats,cmd/coldkeep/main.go,runSnapshotStatsCommand,cross_package_coordination,medium,keep_in_cli,"Calls snapshot.GetSnapshotStats() for single or aggregate snapshot statistics","snapshotStatsPhase() + format text or JSON output (lines 4541-4600)","Simple stats aggregation dispatch; keep in CLI"
CLI-BC-11012-034,snapshot delete,cmd/coldkeep/main.go,runSnapshotDeleteCommand,business_orchestration,high,engine_contract_candidate,"Loads lineage preview on dry-run; deletes if --force; renders output via clirender","snapshotDeleteLineagePreviewPhase() + deleteSnapshotPhase() + clirender.FormatSnapshotDeleteDryRunOutput() (lines 4637-4755)","Snapshot delete orchestration with lineage preview"
CLI-BC-11012-035,snapshot diff,cmd/coldkeep/main.go,runSnapshotDiffCommand,business_orchestration,high,engine_contract_candidate,"Parses --filter added/removed/modified and --summary; dispatches to summary fast path or detailed diff; renders","diffSnapshotSummaryPhase() vs diffSnapshotsPhase() + filterType dispatch + clirender.RenderSnapshotDiff*Human() (lines 4796-4931)","Snapshot diff orchestration with mode dispatch"
CLI-BC-11012-036,snapshot restore,cmd/coldkeep/main.go,runSnapshotRestoreCommand,business_orchestration,critical,engine_contract_candidate,"Parses snapshot query plus destination mode; calls snapshot.RestoreSnapshot() with options; tracks duration","parseRestoreDestinationMode() + parseSnapshotQuery() + restoreSnapshotPhase() with RestoreSnapshotOptions (lines 5077-5275)","Snapshot restore orchestration with query and mode options"
CLI-BC-11012-037,global,cmd/coldkeep/main.go,parseCommandLine,parse_only,critical,keep_in_cli,"Parses CLI arguments into method and positionals and flags; validates flag format; enforces value vs boolean flag distinction","flag token parsing + singleton/repeatable flag checking + isSingletonFlag() + rejectDuplicateSingletonFlag() (lines 5458-5620)","Core CLI parsing; must remain in CLI"
CLI-BC-11012-038,global,cmd/coldkeep/main.go,ensureAllowedFlags,validation_policy,high,keep_in_cli,"Validates that only allowed flags are passed to each command; per-command flag whitelist","iterate parsed.flags + check allowedSet (lines 5622-5641)","Per-command flag whitelist enforced in CLI"
CLI-BC-11012-039,global,cmd/coldkeep/main.go,validateNonNegativeIntegerFlag,validation_policy,high,keep_in_cli,"Validates --limit --offset --min-size --max-size are non-negative integers; enforces max limit bound","strconv.ParseInt() + < 0 check + MaxPaginationLimit enforcement (lines 5643-5658)","Numeric flag validation layer"
CLI-BC-11012-040,global,cmd/coldkeep/main.go,resolveOutputMode,output_rendering,high,keep_in_cli,"Resolves --json vs --output text/json; rejects --json plus --output combination","hasJSONFlag + hasValue conflict + switch normalized value (lines 1114-1140)","Output mode routing logic; keep in CLI"
CLI-BC-11012-041,global,cmd/coldkeep/main.go,inferOutputModeFromArgs,output_rendering,medium,keep_in_cli,"Infers JSON output mode from args for startup recovery logging without command execution","check args[0] in outputSupportedCommands + scan for --json/--output (lines 1213-1229)","Startup output mode pre-inference"
CLI-BC-11012-042,global,cmd/coldkeep/main.go,shouldRunStartupRecovery,business_orchestration,critical,needs_phase5_invariant_mapping,"Routes commands that need pre-flight recovery: store restore remove repair gc stats inspect list search verify snapshot","switch args[0] case list checking 12 commands (lines 1190-1201)","Pre-flight recovery gate for I/O commands; correctness invariant"
CLI-BC-11012-043,global,cmd/coldkeep/main.go,runStartupRecoveryWithOptionalLogBuffering,business_orchestration,critical,needs_phase5_invariant_mapping,"Calls recovery.SystemRecoveryReportWithContainersDir; optionally buffers logs if COLDKEEP_QUIET_HEALTHY_STARTUP_RECOVERY=true and healthy","startupRecoveryPhase(container.ContainersDir) + log buffer conditional (lines 463-494)","Automatic startup recovery orchestration; correctness-critical"
CLI-BC-11012-044,global,cmd/coldkeep/main.go,classifyExitCode,error_exit_mapping,high,keep_in_cli,"Maps errors to exit codes: usage=2; verify=3; recovery=4; general=1; heuristic fallback on message content","string pattern matching for verification failed and recovery phase failed (lines 1162-1182)","Error-to-exit-code routing; keep in CLI"
CLI-BC-11012-045,global,cmd/coldkeep/main.go,printCLIError,error_exit_mapping,high,keep_in_cli,"Formats error payloads for JSON with invariant_code recommended_action dbHint verifyDetails vs stderr text; emits to stderr","JSON error envelope + invariant_code lookup + localDBSetupHint() + extractVerifyFailureDetails() (lines 569-711)","Error formatting and emission; keep in CLI"
