id,category,priority,command_or_evidence,expected_result,risk_covered,phase5_required,notes
RG-11011-001,baseline,required,go test -race -count=1 ./cmd/... ./internal/...,PASS,Full unit test baseline for all cmd and internal packages,true,CI quality job; -race included; covers cli/json/storage/verify/snapshot/recovery/gc and all internal packages
RG-11011-002,race,required,go test -race -count=1 ./tests/adversarial/... ./tests/integration/...,PASS,Race detection over adversarial and integration test surfaces,true,Extends race detection beyond unit tests; complements RG-11011-001
RG-11011-003,vet,required,go vet ./...,No output,Static correctness analysis — no malformed code,true,CI quality job; must produce zero output before release
RG-11011-004,restore,required,"go test ./internal/storage -run ""RestoreCrossPlatform|RestoreSeam"" -count=1",PASS,Restore path safety and cross-platform destination correctness,true,CI cross-platform job command; covers restore-must-not-write-outside-destination invariant
RG-11011-005,gc,required,go test -race -count=1 ./internal/maintenance ./internal/gc,PASS,GC must never delete reachable data — reachability and refcount,true,"gc_test.go, plan_test.go, gc_seam_test.go, repair_refcounts_test.go in internal/maintenance and internal/gc"
RG-11011-006,verify,required,go test -race -count=1 ./internal/verify,PASS,Verify must fail closed on inconsistent catalog/storage state,true,Required correctness surface; v1.10.7 Tier 1 baseline: 66.6%
RG-11011-007,snapshot,required,go test -race -count=1 ./internal/snapshot,PASS,Snapshot retention and lineage behavior must remain correct,true,Required correctness surface; v1.10.7 Tier 1 baseline: 86.3%; deferred M002/M003 remain visible
RG-11011-008,recovery,required,go test -race -count=1 ./internal/recovery,PASS,Recovery must not legitimize corrupt mappings,true,Required correctness surface; v1.10.7 Tier 1 baseline: 44.9%; deferred M087 restore hardening not yet covered
RG-11011-009,pathsafe,required,go test ./internal/pathsafe/... -count=1,PASS,Path traversal and cross-platform path safety,true,CI cross-platform job command; covers v1.10.10 path normalization groundwork
RG-11011-010,packed-legacy-parity,required,"go test -race -count=1 ./internal/maintenance -run ""Parity|Packed|Step11""",PASS,Packed and legacy storage behavior must remain aligned,true,"gc_packed_test.go, gc_parity_test.go, gc_step11_parity_test.go, gc_step11_test.go"
RG-11011-011,filesystem-fault-injection,required,"go test -race -count=1 ./internal/maintenance -run ""FaultFS|Faultfs""",PASS,Filesystem failures must not silently corrupt state,true,gc_faultfs_test.go; covers v1.10.9 faultfs groundwork
RG-11011-012,cross-platform,evidence-only,"GitHub Actions cross-platform matrix (ci.yml job: cross-platform; os: ubuntu-latest/macos-latest/windows-latest)",All three OSes pass,Platform-sensitive path and restore behavior,false,CI-executed during PR/main; not a local-only gate; evidence from CI run log
RG-11011-013,cli-json-contract,required,go test -race -count=1 ./internal/cli/... ./cmd/...,PASS,CLI and JSON automation contracts must be stable,true,Targeted CLI/JSON surface; M008 confirmed fixed; internal/cli/ and cmd/ exist
RG-11011-014,sqlite-postgres-compat,evidence-only,"go test -race -count=1 ./cmd/... ./internal/... (default SQLite backend; PostgreSQL gate requires separate DB)",PASS with SQLite backend,SQLite/PostgreSQL backend compatibility,false,SQLite path covered by CI quality job; PostgreSQL requires separate environment; SQLite-first local policy in effect
RG-11011-015,coverage,required,bash scripts/critical_coverage.sh,Tier 1 packages at or above v1.10.7 soft gate,Critical-path coverage must not regress from v1.10.7 baseline,true,"Uses v1.10.7-critical-package-inventory.csv; Tier 1: storage/verify/maintenance/gc/snapshot/recovery"
RG-11011-016,adversarial,required,go test -race -count=1 ./tests/adversarial/...,PASS,Adversarial correctness invariants across all G-series scenarios,true,18 test files; g1-g14 invariant series; v110_s0_chunk_reuse_bounds_stabilization_test.go
RG-11011-017,integration,required,go test -race -count=1 ./tests/integration/...,PASS,Backward compatibility and integration behavior,true,"CI integration-stress job command; 5 integration test files including v18/v19 compat"
RG-11011-018,integration-long-run,required,"go test -race -count=1 ./tests/integration/... -run 'TestStoreGCVerifyRestoreDeleteLoopStability|TestRandomizedLongRunLifecycleSoak|TestSnapshotRetentionChurnLongRun'",PASS,Long-run soak validation — stability under sustained workload,true,CI integration-long-run job command; Phase 5 must execute this gate
RG-11011-019,scripts-release,required,bash scripts/validate_validation_matrix.sh,PASS,Release validation scripts must execute without failure,true,Validates docs/release/ matrix consistency; covers M043/M045 deferred risk visibility
RG-11011-020,release-control,required,TBD in Phase 5 command mapping — manual review of phase-status.md and checklist.md for consistency across Phase 4/5/6/7/8/9,No drift in phase evidence,Release evidence must not drift or hide risks,true,Exact automated validation command TBD in Phase 5; manual review is the Phase 4 gate
