matrix_id,current_severity,release_target,domain,data_loss_risk,security_risk,recovery_risk,title,candidate_reason,review_decision,final_severity,review_rationale,required_followup
CK-110-M001,S1,backlog,migration,none,medium,none,Review dynamic SQL scanner findings,severity=S1; critical_domain=migration,confirmed-s1,S1,"Candidate remains critical for migration because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M001."
CK-110-M002,S1,backlog,snapshot,none,medium,none,Review dynamic SQL scanner findings,severity=S1,confirmed-s1,S1,"Candidate remains critical for snapshot because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M002."
CK-110-M003,S1,backlog,snapshot,none,medium,none,Filesystem permission scanner findings must be reviewed by runtime area and threat model,severity=S1,confirmed-s1,S1,"Candidate remains critical for snapshot because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M003."
CK-110-M004,S1,backlog,storage,medium,medium,none,Review dynamic SQL scanner findings,severity=S1; data_loss_risk=medium; critical_domain=storage,confirmed-s1,S1,"Candidate remains critical for storage because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M004."
CK-110-M005,S1,backlog,storage,medium,medium,none,Review dynamic filesystem path scanner findings,severity=S1; data_loss_risk=medium; critical_domain=storage; keyword=path,confirmed-s1,S1,"Candidate remains critical for storage because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M005."
CK-110-M006,S1,backlog,storage,medium,medium,none,Filesystem permission scanner findings must be reviewed by runtime area and threat model,severity=S1; data_loss_risk=medium; critical_domain=storage,confirmed-s1,S1,"Candidate remains critical for storage because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M006."
CK-110-M007,S1,backlog,storage,medium,medium,none,Randomness scanner findings must distinguish deterministic tests/benchmarks from cryptographic u,severity=S1; data_loss_risk=medium; critical_domain=storage,confirmed-s1,S1,"Candidate remains critical for storage because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","backlog must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M007."
CK-110-M008,S1,v1.10.1,json,none,none,none,Stabilize JSON shorthand and machine output contract,severity=S1; requires_ci_gate,confirmed-s1,S1,"Candidate remains critical for json because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.1 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M008."
CK-110-M009,S1,v1.10.2,dependencies,none,medium,none,Resolve Go toolchain vulnerability baseline,severity=S1; critical_domain=dependencies; requires_ci_gate; keyword=cve;vulnerability,confirmed-s1,S1,"Candidate remains critical for dependencies because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.2 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M009."
CK-110-M010,S1,v1.10.2,filesystem,none,medium,none,Review dynamic filesystem path scanner findings,severity=S1; critical_domain=filesystem; keyword=path;unsafe,confirmed-s1,S1,"Candidate remains critical for filesystem because available evidence indicates a trust-boundary, restore/recovery, or correctness/CI hazard; not yet proven catastrophic (S0), but requires tracked mitigation before closure.","v1.10.2 must include targeted regression coverage, explicit acceptance criteria, and closure proof for matrix row CK-110-M010."
