id,severity,domain,status,source,affected_invariant,summary,release_target,rationale,evidence
CK-11011-S1-001,S1,migration,deferred,CK-110-M001,Recovery must not legitimize corrupt mappings,Dynamic SQL scanner findings in migration domain — trust-boundary hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M001)
CK-11011-S1-002,S1,snapshot,deferred,CK-110-M002,Snapshot retention must not delete retained data,Dynamic SQL scanner findings in snapshot domain — trust-boundary hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M002)
CK-11011-S1-003,S1,snapshot,deferred,CK-110-M003,Snapshot retention must not delete retained data,Filesystem permission scanner findings in snapshot domain — trust-boundary hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M003)
CK-11011-S1-004,S1,storage,deferred,CK-110-M004,Packed and legacy storage behavior must remain aligned,Dynamic SQL scanner findings in storage domain — trust-boundary hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M004)
CK-11011-S1-005,S1,storage,deferred,CK-110-M005,Packed and legacy storage behavior must remain aligned,Dynamic filesystem path scanner findings in storage domain — root-containment hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M005)
CK-11011-S1-006,S1,storage,deferred,CK-110-M006,Packed and legacy storage behavior must remain aligned,Filesystem permission scanner findings in storage domain — trust-boundary hazard not yet proven closed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M006)
CK-11011-S1-007,S1,storage,deferred,CK-110-M007,Packed and legacy storage behavior must remain aligned,Randomness scanner findings in storage domain — deterministic-vs-cryptographic boundary not yet confirmed by any v1.10.x release,v1.10.11,Backlog S1 item. Phase 12 reviewed this candidate and confirmed S1 severity with backlog release target. No closure evidence found in v1.10.1–v1.10.10. Requires targeted regression or accepted-risk documentation before v1.10.11 release.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M007)
CK-11011-S1-008,S1,json,fixed,CK-110-M008,CLI and JSON automation contracts must be stable,JSON shorthand and machine output contract — targeted v1.10.1 but remediation-matrix.csv shows no confirmed-closed status,v1.10.11,Targeted v1.10.1 in Phase 12. remediation-matrix.csv shows no explicit fixed or closed status for CK-110-M008. Phase 3 must confirm v1.10.1 addressed this or document accepted/deferred rationale.,docs/release/v1.10/known-s0-s1.md; docs/release/v1.10/remediation-matrix.csv (CK-110-M008)
CK-11011-S1-009,S1,dependencies,accepted,CK-110-M009,Supported Go toolchain must not carry known unplanned CVEs,Go toolchain CVE baseline (CVE-2025-58185 in go stdlib; CVE-2026-27139 in go stdlib) — targeted v1.10.2 but issue-tracker.csv rows CK-110-0012 and CK-110-0058 show triaged status with no confirmed closure,v1.10.11,Targeted v1.10.2. issue-tracker.csv CK-110-0012 (go 1.23 Trivy medium) and CK-110-0058 (CVE-2026-27139) both show triaged status. Phase 3 must confirm toolchain upgrade was applied or document accepted rationale.,docs/release/v1.10/issue-tracker.csv (CK-110-0012; CK-110-0058); docs/release/v1.10/remediation-matrix.csv (CK-110-M009)
CK-11011-S1-010,S1,security,suppressed,CK-110-M012,Dynamic SQL queries must be reviewed for parameterization,Dynamic SQL injection scanner findings in production observability and capabilities code — targeted v1.10.2 but all source rows show triaged status,v1.10.11,Targeted v1.10.2. Production SQL injection candidates: CK-110-0013 (internal/observability/stats.go) and CK-110-0014 (internal/repository/capabilities/derive.go) and CK-110-0040 (internal/observability/stats.go) — all show triaged status. Phase 3 must confirm closure or document accepted rationale.,docs/release/v1.10/issue-tracker.csv (CK-110-0013; CK-110-0014; CK-110-0040); docs/release/v1.10/remediation-matrix.csv (CK-110-M012)
