id,rule_name,rule_category,rule_priority,applies_to,migration_gate,evidence_source,related_invariants,related_operation_candidates,violation_severity,rule_statement,required_evidence,validation_notes,notes
MIG-11012-001,wrap_existing_behavior_before_lift,behavior_preservation,P0,all_engine_candidates,must_before_move,phase5_invariant_owner,"INV-11012-001; INV-11012-005; INV-11012-010; INV-11012-014; INV-11012-015; INV-11012-024","OPC-11012-001; OPC-11012-003; OPC-11012-009; OPC-11012-011; OPC-11012-014; OPC-11012-023",release_blocker,"v1.11 must wrap existing behavior in a facade that delegates to current internals before any orchestration is lifted; wrapping must preserve current behavior exactly","diff shows facade delegates to existing code without reordering; CLI outputs, JSON outputs, exit codes, and targeted invariant tests pass before and after wrapper","compare CLI outputs, JSON outputs, exit codes, and targeted invariant tests before and after wrapping each operation",Rule only; no implementation in v1.10.12
MIG-11012-002,wrap_store_before_lifting_write_pipeline,behavior_preservation,P0,store,must_before_move,phase5_invariant_owner,"INV-11012-014; INV-11012-015","OPC-11012-001; OPC-11012-002",release_blocker,"store pipeline (AppendPayload then fsync then FinalizeContainer then DB commit) must be wrapped before any step is lifted; block-write integrity and container-payload chain must remain intact through wrapping","hash-verified store test passes before and after wrapper; DB commit never precedes fsync","run targeted store then verify sequence; confirm no hash mismatch across wrapper boundary",Rule only; no implementation in v1.10.12
MIG-11012-003,wrap_restore_before_lifting_orchestration,behavior_preservation,P0,restore,must_before_move,phase5_invariant_owner,"INV-11012-001; INV-11012-002; INV-11012-010","OPC-11012-003; OPC-11012-004; OPC-11012-009",release_blocker,"restore orchestration (chunk-sequencing, destination-resolution, temp/rename/sync chain) must be wrapped before any step is lifted; chunk ordering and destination semantics must be preserved","store+restore round-trip hash matches before and after wrapper; original/prefix/override destination modes all verified","test all three destination modes; test overwrite rejection; test traversal rejection; confirm round-trip hash",Rule only; no implementation in v1.10.12
MIG-11012-004,wrap_gc_before_lifting_reachability,behavior_preservation,P0,gc,must_before_move,phase5_invariant_owner,"INV-11012-005; INV-11012-006; INV-11012-007","OPC-11012-011; OPC-11012-012",release_blocker,"GC reachability computation (chunks and packed blocks and legacy containers) must be wrapped before extraction; dry-run must continue to use the same reachability path as live-run","GC dry-run output matches live would-delete set on same repo snapshot before and after wrapper; no reachable data deleted","run GC dry-run and live-run on identical repo state; confirm delete sets match; confirm no reachable data deleted",Rule only; no implementation in v1.10.12
MIG-11012-005,preserve_restore_overwrite_semantics,behavior_preservation,P0,restore,must_during_wrap,phase5_invariant_owner,"INV-11012-001; INV-11012-002; INV-11012-004","OPC-11012-003; OPC-11012-004",critical,"restore --overwrite, --no-overwrite, and default (reject-existing) semantics must produce identical behavior after wrapping; no silent behavior change to overwrite mode during facade work","overwrite, no-overwrite, and default modes each produce correct behavior in integration test before and after wrapper","test each overwrite mode independently; confirm existing-file rejection works as before; confirm no mode changes silently during wrap",Rule only; no implementation in v1.10.12
MIG-11012-006,preserve_restore_destination_sanitization,filesystem_boundary,P0,restore,must_before_filesystem_facade,phase5_invariant_owner,"INV-11012-002; INV-11012-004","OPC-11012-003; OPC-11012-004",release_blocker,"path traversal rejection and stored-path sanitization must remain in the filesystem boundary at all times; must never allow restoring to paths outside the intended destination","traversal-attack path rejected with correct error before and after filesystem boundary work; sanitizeStoredPath behavior unchanged","attempt restore with traversal path; confirm rejection with correct error code",Rule only; security-critical; must not move until filesystem boundary is explicit
MIG-11012-007,preserve_restore_temp_rename_sync,filesystem_boundary,P0,restore,must_before_filesystem_facade,phase5_invariant_owner,"INV-11012-003","OPC-11012-001; OPC-11012-003; OPC-11012-009",release_blocker,"temp-write-then-rename-then-fsync durability chain for restore and fsync-before-DB-commit for store must remain in the filesystem boundary; must not be bypassed or reordered during boundary moves","power-fail simulation or fault injection confirms no partial write survives; fsync order verified in code review","confirm OSFS seam covers all write paths; review wrapper diff for temp/rename/fsync ordering preservation",Rule only; write durability chain must be preserved
MIG-11012-008,preserve_gc_deletion_ordering,filesystem_boundary,P0,gc,must_before_filesystem_facade,phase5_invariant_owner,"INV-11012-007","OPC-11012-012",release_blocker,"GC must commit DB row before deleting file; commit-then-delete ordering must remain in filesystem boundary; violation leaves data loss risk between crash and recovery","code review confirms DB commit precedes file removal in all paths; crash-injection test leaves no reachable data deleted","review wrapper diff for commit-then-delete ordering; confirm no reachable container file is removed before its DB row is committed",Rule only; commit-then-delete is the safety invariant
MIG-11012-009,preserve_filesystem_fault_injection_seam,filesystem_boundary,P1,all_filesystem_candidates,must_before_filesystem_facade,phase5_invariant_owner,"INV-11012-031","OPC-11012-001; OPC-11012-003; OPC-11012-012",high,"all filesystem operations must continue to route through the fsx.OSFS interface; the OSFS seam must not be bypassed during engine boundary moves","all new wrapper code uses OSFS not direct os calls; fault injection tests continue to pass","grep new wrapper code for direct os calls; run fault injection tests; confirm OSFS coverage unchanged",Rule only; OSFS seam must be preserved for testability and failure-mode coverage
MIG-11012-010,preserve_snapshot_immutability,catalog_boundary,P0,snapshot,must_before_catalog_facade,phase5_invariant_owner,"INV-11012-008","OPC-11012-005",release_blocker,"snapshot creation must remain all-or-nothing in a single BeginTx/Commit; no partial snapshot rows must be introduced by any catalog facade work","CreateSnapshotWithOptions transaction scope unchanged; fault injection confirms no partial snapshot rows","confirm single-tx scope in code review; test interrupted snapshot leaves no partial rows in DB",Rule only; no partial snapshot state acceptable
MIG-11012-011,preserve_snapshot_retention_safety,catalog_boundary,P1,snapshot,must_before_catalog_facade,phase5_invariant_owner,"INV-11012-009","OPC-11012-008",critical,"deleting a snapshot must remove only metadata rows; underlying logical files and physical data must remain unaffected","snapshot delete followed by verify confirms physical data intact; logical file count unchanged","test delete snapshot then verify; confirm no physical data deleted; confirm logical file count unchanged",Rule only; physical data not affected by snapshot delete
MIG-11012-012,preserve_repair_ref_count_atomicity,catalog_boundary,P1,repair,must_before_catalog_facade,phase5_invariant_owner,"INV-11012-016","OPC-11012-015",high,"ref-count repair must be atomic per repair target; dry-run must not apply changes; no intermediate inconsistent catalog state must be introduced by catalog facade work","repair dry-run produces no DB mutations; repair live-run is committed atomically per target","test dry-run followed by count check; confirm no partial repair state; confirm dry-run produces zero DB writes",Rule only; no behavior change
MIG-11012-013,preserve_transaction_boundaries,transaction_boundary,P0,all_catalog_candidates,must_before_catalog_facade,phase5_invariant_owner,"INV-11012-019","OPC-11012-001; OPC-11012-005; OPC-11012-012; OPC-11012-015",release_blocker,"all mutating operations (store, snapshot, GC, repair) must continue to use BeginTx/Commit/Rollback; catalog facade must own transaction scope before any engine split","catalog facade wraps existing BeginTx/Commit; no mutation escapes transaction scope","code review confirms all mutations still transactional after facade is added; no mutation path bypasses transaction",Rule only; no behavior change
MIG-11012-014,preserve_verify_fail_closed_behavior,failure_semantics,P0,verify,must_before_move,phase5_invariant_owner,"INV-11012-011; INV-11012-012","OPC-11012-013; OPC-11012-014",release_blocker,"verify must report all errors and must not partially succeed after any boundary move; exit code 3 must be preserved; GC must not run while verify finds failures","verify with known corruption produces exit code 3 before and after wrapper; partial-success path does not exist","inject known hash mismatch; confirm exit code 3 and full error report; confirm GC blocked when verify fails",Rule only; fail-closed is non-negotiable
