issue_id,result_data_id,file,line,rule,root_cause,class,disposition,reason
7aa8cd3f6445185e83a84e73f366711b,131532896715,scripts/validate_governance.py,74,Lizard_nloc-medium,RC01,D,IGNORE,AcceptedUse
344b09b0c05aafc83ff4cbcd4e8dbd59,131532896714,scripts/validate_governance.py,74,Lizard_ccn-medium,RC01,D,IGNORE,AcceptedUse
36527064500fb21fbc70126dbb3c244a,131532896705,AGENTS.md,1,Agentlinter_completeness_has-identity,RC02,D,IGNORE,AcceptedUse
4ba7ee72c9969f71c6a702f3ce9a70b6,131532896703,AGENTS.md,19,Agentlinter_clarity_undefined-term,RC02,D,IGNORE,AcceptedUse
3fd5a2da7b4e75c484adcaaf8623f749,131532896709,AGENTS.md,14,Agentlinter_clarity_undefined-term,RC02,D,IGNORE,AcceptedUse
9025b8f77ff1fe2589fef3e71a0d9afd,131532896704,AGENTS.md,1,Agentlinter_completeness_has-tools,RC02,D,IGNORE,AcceptedUse
d42b9c930cdeb1e2da159d6808d509f7,131532896707,AGENTS.md,1,Agentlinter_clarity_has-examples,RC02,D,IGNORE,AcceptedUse
5b381476101c8acc67d97d96c8fca109,131532896706,AGENTS.md,3,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
fb1b4c2411c8e952ddf5e799703f2528,131532896702,AGENTS.md,23,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
307570a0e3e4952f1ce7d890db7f2b45,131532896710,AGENTS.md,21,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
5dfb9ccf92cfcb93409d38e49e19b4d7,131532896701,AGENTS.md,20,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
7965f3b8296395178c2c55801346aef5,131532896708,AGENTS.md,22,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
d471415072c38cda96bd696c3c802035,131532896700,AGENTS.md,19,Agentlinter_clarity_escape-hatch-missing,RC03,C,IGNORE,AcceptedUse
4b7d8b1d29625a13bf6a573258932a44,131532896711,AGENTS.md,1,Agentlinter_consistency_referenced-files-exist,RC04,C,IGNORE,FalsePositive
1df75905927f566798881d7363994670,131532896764,Dockerfile,31,Semgrep_dockerfile.security.missing-user.missing-user,RC05,C,IGNORE,AcceptedUse
7d084b9e61b78ccaa878ec1a6e8c557f,131532896729,scripts/test_validate_phase3_contracts.py,1,Bandit_B404,RC06,C,IGNORE,TestCode
2cd58f1723eee295c1e5c2c3cffef0be,131532896730,scripts/test_validate_phase3_contracts.py,10,Bandit_B603,RC06,C,IGNORE,TestCode
c2248a1c0fd0c98529e994db6d29c9fb,131532896726,scripts/test_validate_phase3_contracts.py,1,Prospector_bandit,RC06,E,IGNORE,TestCode
e7f9839b6593358b1163e76648e6fa2d,131532896727,scripts/test_validate_phase3_contracts.py,10,Prospector_bandit,RC06,E,IGNORE,TestCode
2a24df88c01b51dd3837f26023d682e9,131532896731,scripts/test_validate_phase3_contracts.py,10,Semgrep_python.lang.security.audit.dangerous-subprocess-use-audit.dangerous-subprocess-use-audit,RC06,E,IGNORE,TestCode
b615296a777866aad087f840aa1f7248,131532896712,internal/fsx/secureinstall/install_windows_test.go,34,Lizard_ccn-medium,RC07,D,IGNORE,TestCode
78ce659060b79212a43f0f1567a2cd7,131532896734,.devcontainer/Dockerfile,7,Hadolint_DL3008,RC08,C,IGNORE,AcceptedUse
92d1380c7a7e775aed2a0d1416e17685,131532896742,internal/fsx/secureinstall/install_windows_test.go,53,Semgrep_go.lang.security.audit.unsafe.use-of-unsafe-block,RC09,C,IGNORE,TestCode
c63cffd3bd8cfcc1c111558ef29e3837,131532896745,internal/fsx/secureinstall/install_windows_test.go,49,Semgrep_go_unsafe_rule-unsafe,RC09,E,IGNORE,TestCode
2d0084933ff79f39d58eb27a7407656d,131532896744,internal/fsx/secureinstall/install_windows_test.go,49,Semgrep_go.lang.security.audit.unsafe.use-of-unsafe-block,RC09,C,IGNORE,TestCode
5634018001f225cedc3668c0ca6c758f,131532896746,internal/fsx/secureinstall/install_windows_test.go,53,Semgrep_go_unsafe_rule-unsafe,RC09,E,IGNORE,TestCode
1d8f86529debdc2d7e23bacf46501f18,131532896743,internal/fsx/secureinstall/install_windows.go,176,Semgrep_go.lang.security.audit.unsafe.use-of-unsafe-block,RC10,C,IGNORE,AcceptedUse
b9f1e8bd04f4b17d3a59bd6f9c22be38,131532896740,.github/workflows/ci.yml,1438,Semgrep_yaml.github-actions.security.third-party-action-not-pinned-to-commit-sha.third-party-action-not-pinned-to-commit-sha,RC11,B,FIX,
9b85c933e824e1a3ba7bbd7e526c6c06,131532896739,.github/workflows/ci.yml,1433,Semgrep_yaml.github-actions.security.third-party-action-not-pinned-to-commit-sha.third-party-action-not-pinned-to-commit-sha,RC11,B,FIX,
