ck_id,matrix_id,source_id,source_tool,source_rule,source_file,area,severity,domain,title,recommended_action
CK-110-0001,CK-110-M066,a3ffeea807380ab4eb01024475f66f95,Lizard,Lizard_nloc-medium,internal/storage/restore_test.go,test,S3,restore,Method TestRestoreOptionsOverwriteFalseRejectsExistingDestination has 91 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0002,CK-110-M047,1b4d2f909c5d039111906539f9cbfe3f,Lizard,Lizard_ccn-medium,internal/db/migrations_test.go,test,S3,migration,Method TestLoadSQLiteSchemaNormalizesLegacySchemaVersionHistory has a cyclomatic complexity of 11 (limit is 8),review-for-suppression-or-backlog
CK-110-0003,CK-110-M062,83cd4dfbe61395442cc80723828104ef,Lizard,Lizard_ccn-medium,internal/maintenance/gc_test.go,test,S3,gc,Method TestRunGCDryRunCurrentAndSnapshotSharedRetentionSurvivesCurrentDelete has a cyclomatic complexity of 12,review-for-suppression-or-backlog
CK-110-0004,CK-110-M051,9378ffb5531bdf1508abab69423c89f4,Lizard,Lizard_nloc-medium,internal/storage/physical_file_repository_test.go,test,S3,storage,Method TestStoreFileNormalizesSymlinkAndRealPathToSingleIdentity has 54 lines of code (limit is 50),review-for-suppression-or-backlog
CK-110-0005,CK-110-M047,b26ba57d1a8c7f55b98c12b581b8af7e,Lizard,Lizard_nloc-medium,internal/db/migrations_test.go,test,S3,migration,Method TestRunMigrationsFailsOnLegacyUnsupportedStorageBlockCompressionCodec has 75 lines of code (limit is 50,review-for-suppression-or-backlog
CK-110-0007,CK-110-M063,d91d62593c553c9c9344387a49bcea6,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/adversarial/g69_gc_safety_matrix_test.go,test,S3,gc,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0009,CK-110-M050,8674c712204ea0c5bff6d81b6a8d4dc5,Opengrep,Semgrep_go_sql_rule-concat-sqli,internal/snapshot/snapshot_bench_test.go,test,S3,snapshot,SQL Injection is a critical vulnerability that can lead to data or system compromise.,review-for-suppression-or-backlog
CK-110-0010,CK-110-M072,549ee272844892205139122796c77c47,markdownlint,markdownlint_MD007,docs/benchmarking.md,docs,S4,docs,Expected: 2; Actual: 3,review-for-suppression-or-backlog
CK-110-0011,CK-110-M052,cce75e251cbeb1bf99ed1fdf95041e8c,Opengrep,Semgrep_go.lang.correctness.permissions.file_permission.incorrect-default-permission,tests/adversarial/v110_s0_chunk_reuse_bounds_stabilization_test.go,test,S3,storage,Detected file permissions that are set to more than `0600` (user/owner can read and write). Setting file permi,review-for-suppression-or-backlog
CK-110-0015,CK-110-M072,3c66e8f7f9c1a3c78d4dc8bbc3671502,markdownlint,markdownlint_MD022,docs/STEP64_METRICS_VALIDATION.md,docs,S4,docs,Expected: 1; Actual: 0; Below,review-for-suppression-or-backlog
CK-110-0017,CK-110-M067,d438e412f06e1d2b5451fca2db111a3e,Opengrep,Semgrep_go_file-permissions_rule-fileperm,tests/adversarial/g1_deterministic_restore_adversarial_test.go,test,S3,restore,The application was found setting file permissions to overly permissive values.,review-for-suppression-or-backlog
CK-110-0018,CK-110-M059,b2dd6909c2a87103b8d03b3a0ca81967,Opengrep,Semgrep_go.lang.security.audit.database.string-formatted-query.string-formatted-query,internal/observability/inspect_test.go,test,S3,security,String-formatted SQL query detected.,review-for-suppression-or-backlog
CK-110-0019,CK-110-M071,ed12003ca7dde7f5c9a4aee261cdd9d4,Opengrep,Semgrep_go.lang.security.audit.crypto.math_random.math-random-used,tests/adversarial/g611_adversarial_compression_longrun_test.go,test,S3,codacy,Do not use `math/rand`. Use `crypto/rand` instead.,review-for-suppression-or-backlog
CK-110-0021,CK-110-M052,78871f84811273d6944a19ed53a44601,Opengrep,Semgrep_go_file-permissions_rule-fileperm,internal/storage/phase1_compat_matrix_test.go,test,S3,storage,The application was found setting file permissions to overly permissive values.,review-for-suppression-or-backlog
